# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.84847362  0.00781279 -2.90165767]
# Fvar:0.24307141835145396
# FoM:12.941366737092816
# seed: 12012
# seed_gaps: 17823
# Time	Value	Error
0.000000000000000000e+00 1.223383031146824118e+00 2.787369226096100480e-02
5.500000000000000000e+00 1.212764874874762588e+00 2.845509262260847647e-02
7.250000000000000000e+00 1.077767294593629854e+00 3.440486012199545779e-02
7.500000000000000000e+00 1.103139674174687723e+00 2.168174547825309564e-02
7.750000000000000000e+00 1.076480611252078612e+00 3.003370264288142757e-02
1.025000000000000000e+01 1.009830189979449067e+00 1.053252013360318068e-02
1.050000000000000000e+01 1.023500530180194490e+00 2.531763216797967148e-02
1.350000000000000000e+01 9.533709469868465458e-01 2.297801464234347155e-02
1.650000000000000000e+01 9.732452740282584447e-01 1.120776108135432096e-02
2.000000000000000000e+01 9.086753354578308572e-01 2.050707205187194196e-02
2.050000000000000000e+01 9.334291510856166374e-01 1.758997979820519850e-02
2.125000000000000000e+01 9.010156216625925252e-01 2.436648884911380222e-02
2.200000000000000000e+01 9.212987889078784187e-01 1.774363412909523569e-02
2.300000000000000000e+01 9.654969637838116681e-01 2.180624423532203510e-02
2.475000000000000000e+01 9.319499572446002800e-01 1.913538730394947346e-02
2.575000000000000000e+01 9.324769696324917145e-01 1.434484388070880224e-02
2.600000000000000000e+01 9.545490775607688994e-01 1.478010592967756408e-02
2.625000000000000000e+01 9.525536238249230347e-01 1.122817313618890318e-02
2.700000000000000000e+01 9.343955177542019319e-01 9.880411746195260497e-03
2.725000000000000000e+01 1.005030723299450424e+00 1.825282935817643462e-02
2.800000000000000000e+01 9.377926862445732370e-01 1.464371146362507432e-02
2.900000000000000000e+01 9.139754216088478156e-01 2.514845411879387815e-02
2.925000000000000000e+01 9.157640272893233790e-01 1.670039779097514526e-02
3.200000000000000000e+01 8.955845951494577628e-01 1.771516463463462462e-02
3.225000000000000000e+01 8.984644334897009532e-01 1.996235871391273745e-02
3.400000000000000000e+01 8.687571455619316207e-01 1.657870209113852800e-02
3.575000000000000000e+01 8.714042723170600802e-01 1.466204670773308197e-02
3.975000000000000000e+01 9.190689351554179876e-01 2.648322039760956162e-02
4.125000000000000000e+01 9.494160884335228756e-01 3.659454740282853252e-02
4.375000000000000000e+01 9.391390626687375898e-01 1.084764676747436429e-02
4.425000000000000000e+01 9.272022312494242469e-01 1.949205576485827859e-02
4.550000000000000000e+01 9.314080383558016596e-01 1.242476137985462983e-02
4.750000000000000000e+01 8.999156594174974044e-01 3.274962422415757940e-02
4.775000000000000000e+01 8.882224685425912369e-01 1.677029121605392095e-02
4.825000000000000000e+01 8.951310454434718844e-01 1.572089700601651471e-02
5.200000000000000000e+01 9.483558804916559781e-01 2.204848122830428692e-02
5.250000000000000000e+01 8.767859235565023113e-01 2.148739897428825554e-02
5.375000000000000000e+01 8.742058330714493897e-01 2.531252779519678475e-02
5.475000000000000000e+01 8.813725635497277056e-01 1.215016305703069642e-02
5.500000000000000000e+01 8.859315835805492423e-01 1.372443370612292171e-02
5.525000000000000000e+01 8.737532278811572795e-01 1.000598499314590134e-02
5.550000000000000000e+01 8.607269822132974646e-01 1.845177365636441538e-02
5.600000000000000000e+01 8.279839439446143867e-01 1.697103986101657427e-02
5.625000000000000000e+01 8.392891734559569938e-01 2.300626377646964107e-02
5.775000000000000000e+01 8.282683583808040373e-01 3.020238879253289363e-02
5.950000000000000000e+01 8.320883551354657515e-01 3.034492360962112029e-02
6.250000000000000000e+01 7.940911840809564692e-01 2.096739074905659694e-02
6.375000000000000000e+01 8.309449438599170179e-01 1.105240089499304537e-02
6.475000000000000000e+01 7.804273384562698812e-01 1.621126621387375399e-02
6.600000000000000000e+01 7.806195526156625153e-01 1.217740610711357668e-02
6.675000000000000000e+01 7.787259153726134864e-01 1.373906002518008283e-02
6.800000000000000000e+01 7.279312253409871980e-01 1.547343137779273216e-02
6.925000000000000000e+01 7.254105073580920937e-01 1.789475800394579180e-02
7.125000000000000000e+01 7.412201889844638458e-01 1.542186271765634727e-02
7.200000000000000000e+01 7.451705576896333616e-01 1.778855910078240218e-02
7.300000000000000000e+01 7.408218103150979728e-01 3.171018107156806792e-02
7.525000000000000000e+01 7.539066435845415137e-01 9.616452838693438643e-03
7.575000000000000000e+01 7.607433553448202934e-01 1.998092950731964954e-02
7.600000000000000000e+01 7.378691014274695315e-01 1.384711413368271485e-02
7.625000000000000000e+01 7.841291374203246400e-01 2.165118408565506677e-02
8.025000000000000000e+01 7.501566624703501773e-01 1.814029851050006151e-02
8.150000000000000000e+01 7.354622484044778252e-01 9.071709445061970634e-03
8.200000000000000000e+01 7.383884129849739297e-01 1.908489723410667846e-02
8.275000000000000000e+01 7.197293344465985898e-01 1.048544811662171714e-02
8.475000000000000000e+01 6.856602894333233555e-01 2.263716996531407732e-02
8.525000000000000000e+01 6.739179010936491299e-01 2.328393196107833921e-02
8.575000000000000000e+01 6.881870902272864132e-01 2.494540974252355825e-02
8.600000000000000000e+01 7.095644888477997680e-01 1.542206401838798133e-02
8.675000000000000000e+01 6.778201702161282816e-01 2.168625411845578194e-02
8.725000000000000000e+01 6.853010337430103238e-01 2.176430766586694501e-02
8.800000000000000000e+01 6.910591530021661377e-01 1.218652364133740278e-02
8.825000000000000000e+01 6.829434822327853372e-01 1.451792233449355519e-02
8.900000000000000000e+01 6.553551741866210367e-01 1.512844787769098039e-02
9.075000000000000000e+01 7.057986924030247300e-01 1.270907703381603943e-02
9.100000000000000000e+01 6.709833553308061083e-01 1.207787234295641145e-02
9.200000000000000000e+01 6.792589116217374601e-01 2.535228449884287250e-02
9.250000000000000000e+01 7.759091404316715845e-01 3.116979484671229816e-02
9.475000000000000000e+01 6.781945864155460857e-01 8.987744446262256950e-03
9.775000000000000000e+01 6.902692957367777549e-01 1.193603180460342354e-02
9.975000000000000000e+01 6.932752134548857414e-01 2.659720066642661668e-02
1.000000000000000000e+02 7.285588971436136596e-01 1.504063571684851643e-02
1.035000000000000000e+02 7.352953486480792167e-01 1.014955165894241076e-02
1.037500000000000000e+02 7.578736715011595848e-01 2.418582237413479524e-02
1.060000000000000000e+02 7.540652933322339324e-01 1.687816705073190079e-02
1.062500000000000000e+02 7.246541664743759714e-01 2.991655294920666716e-02
1.082500000000000000e+02 7.537580845334912460e-01 1.313472966436103791e-02
1.090000000000000000e+02 7.158724663885429607e-01 1.680021119846129840e-02
1.120000000000000000e+02 7.760983656156301702e-01 1.158046401523604371e-02
1.142500000000000000e+02 8.267498494219863714e-01 1.292517673958910353e-02
1.145000000000000000e+02 7.987450462769490889e-01 3.243219026198639054e-02
1.162500000000000000e+02 8.055648275385061119e-01 1.331328535996411863e-02
1.170000000000000000e+02 8.021225615137584919e-01 9.671798194117715505e-03
1.172500000000000000e+02 8.039327381931350436e-01 1.308982933620667956e-02
1.177500000000000000e+02 8.224601088653132885e-01 1.481425892698057419e-02
1.182500000000000000e+02 8.214442772165209128e-01 1.874592702807090228e-02
1.252500000000000000e+02 9.287810921831016753e-01 1.398796245214040460e-02
1.267500000000000000e+02 9.252679716547143052e-01 1.376052740330034087e-02
1.272500000000000000e+02 9.208065099230181572e-01 1.154296642293604382e-02
1.300000000000000000e+02 9.712610450554379771e-01 3.399608838148386603e-02
1.312500000000000000e+02 9.523417476604232323e-01 2.755932692940530129e-02
1.327500000000000000e+02 8.959858834699693242e-01 1.345653629329328360e-02
1.330000000000000000e+02 9.035589211779826435e-01 1.016945628729309763e-02
1.335000000000000000e+02 8.767671005828605590e-01 1.198312035109582591e-02
1.337500000000000000e+02 8.816373995072013248e-01 1.213624251361457990e-02
1.350000000000000000e+02 8.899057189577388449e-01 1.579766924511192411e-02
1.385000000000000000e+02 8.825285373350779672e-01 2.073501386769499577e-02
1.392500000000000000e+02 8.411064816561103497e-01 2.170096714142269456e-02
1.397500000000000000e+02 8.516911026126509077e-01 1.114759746336440108e-02
1.425000000000000000e+02 8.711924289003132316e-01 2.271163538071218832e-02
1.430000000000000000e+02 8.199974244893982744e-01 1.297739817485393451e-02
1.437500000000000000e+02 8.059146729090793659e-01 1.834719446145264415e-02
1.440000000000000000e+02 8.166041782049329179e-01 1.102573218511597626e-02
1.442500000000000000e+02 7.996919078500889233e-01 2.824361643061807856e-02
1.452500000000000000e+02 8.126426924622768277e-01 1.012644019445880714e-02
1.877500000000000000e+02 9.959015378076349068e-01 1.359742033957700089e-02
1.892500000000000000e+02 1.072238106934557900e+00 2.971466477323335409e-02
1.897500000000000000e+02 1.029890702815515757e+00 2.730100658564910132e-02
1.907500000000000000e+02 1.060515197815862898e+00 1.962813545841584836e-02
1.910000000000000000e+02 1.044577616237700513e+00 2.118804718482207583e-02
2.590000000000000000e+02 1.159824626079714260e+00 1.966258340499267218e-02
2.602500000000000000e+02 1.153439152968957604e+00 1.491495109334296104e-02
2.605000000000000000e+02 1.102349488043124159e+00 3.003528407236291317e-02
2.620000000000000000e+02 1.163103169993380259e+00 1.656554039238587045e-02
2.622500000000000000e+02 1.121688950634126547e+00 3.544828193822637669e-02
2.642500000000000000e+02 1.123721935016456897e+00 2.059116349271502416e-02
2.655000000000000000e+02 1.173835649181873775e+00 1.454411541425152006e-02
2.657500000000000000e+02 1.193810859599078622e+00 3.003397584048123070e-02
2.660000000000000000e+02 1.175727877935823784e+00 2.282331997039336105e-02
2.677500000000000000e+02 1.177762952231419913e+00 3.384948471010840870e-02
2.695000000000000000e+02 1.231912903174615881e+00 2.408728666994635129e-02
2.710000000000000000e+02 1.218903242023934963e+00 1.256749100722351874e-02
2.712500000000000000e+02 1.216547768836508503e+00 3.177054238247410678e-02
2.720000000000000000e+02 1.249712169031898856e+00 1.360934361913615324e-02
2.725000000000000000e+02 1.220303639175187804e+00 3.882230887431937366e-02
2.727500000000000000e+02 1.237600647501567508e+00 2.652058581854979322e-02
2.742500000000000000e+02 1.224495308204583743e+00 3.902927662573703327e-02
2.765000000000000000e+02 1.191023670060339823e+00 1.696796763627671581e-02
2.805000000000000000e+02 1.255725969664619912e+00 1.860452700973427853e-02
2.810000000000000000e+02 1.291377304459858655e+00 2.666163217257304027e-02
2.812500000000000000e+02 1.224785118435059772e+00 4.141391121916719598e-02
2.815000000000000000e+02 1.265873926196072308e+00 1.190536379848985797e-02
2.817500000000000000e+02 1.249710418724877314e+00 1.919326667893277855e-02
2.855000000000000000e+02 1.200965848982662676e+00 1.978014751323375897e-02
2.882500000000000000e+02 1.180472170482707028e+00 3.153861556196806831e-02
2.902500000000000000e+02 1.238040185362375700e+00 3.568976341824744297e-02
2.915000000000000000e+02 1.215416207768145407e+00 1.894859959947899422e-02
2.930000000000000000e+02 1.250233980113870880e+00 1.592611531664466645e-02
2.935000000000000000e+02 1.202440624989366880e+00 2.037513697386962933e-02
2.942500000000000000e+02 1.221059011723540033e+00 1.398115490334825295e-02
2.952500000000000000e+02 1.213154828081281389e+00 1.473297585167032686e-02
2.955000000000000000e+02 1.179517553441663535e+00 2.544296849264062257e-02
2.992500000000000000e+02 1.233359870229432387e+00 1.804577362524626902e-02
3.015000000000000000e+02 1.223232428711871433e+00 2.728205743561034832e-02
3.020000000000000000e+02 1.257150566396836755e+00 1.249948273337786811e-02
3.030000000000000000e+02 1.241050588432809354e+00 1.219749346929900093e-02
3.037500000000000000e+02 1.231572008254957495e+00 2.607340457093665353e-02
3.040000000000000000e+02 1.210797189040592414e+00 3.379174761219268242e-02
3.087500000000000000e+02 1.191062297521633839e+00 1.969915000855797585e-02
3.100000000000000000e+02 1.169231520989186146e+00 2.019651212161215070e-02
3.107500000000000000e+02 1.196907890015363352e+00 1.701877101304961198e-02
3.132500000000000000e+02 1.181497244157319049e+00 2.175186841432035292e-02
3.162500000000000000e+02 1.160719698228295016e+00 2.582567648494538820e-02
3.165000000000000000e+02 1.130840397529298214e+00 3.556148636295471122e-02
3.167500000000000000e+02 1.144874225312512150e+00 1.974028605744692147e-02
3.170000000000000000e+02 1.120462910471264006e+00 2.001426924615307482e-02
3.180000000000000000e+02 1.133278421658394874e+00 1.778251819006589074e-02
3.187500000000000000e+02 1.130547357137426712e+00 2.705573622234358488e-02
3.197500000000000000e+02 1.111539967115992678e+00 2.673298418901191506e-02
3.202500000000000000e+02 1.121808369286733109e+00 1.182428339439061706e-02
3.217500000000000000e+02 1.118461868140120385e+00 2.822259871959014593e-02
3.222500000000000000e+02 1.117600228798373285e+00 1.107788729580214127e-02
3.230000000000000000e+02 1.098553197993582531e+00 1.677359646319788455e-02
3.275000000000000000e+02 1.093969440366024282e+00 2.268126439947536904e-02
3.280000000000000000e+02 1.121924223568033563e+00 2.670961693921063487e-02
3.300000000000000000e+02 1.119193868851427132e+00 2.069363363023665400e-02
3.310000000000000000e+02 1.095316544462054953e+00 3.653873649135005314e-02
3.327500000000000000e+02 1.115377920663570999e+00 1.974159878564843429e-02
3.335000000000000000e+02 1.100453062120506420e+00 2.147880122477780276e-02
3.340000000000000000e+02 1.063957636954020014e+00 2.684087692947574252e-02
3.345000000000000000e+02 9.680968373689690099e-01 3.871642905833300868e-02
3.365000000000000000e+02 1.056655829584774553e+00 2.043131302511903835e-02
3.375000000000000000e+02 1.033762648735902845e+00 2.248360845640100247e-02
3.400000000000000000e+02 1.015711355189110821e+00 1.448884133548079302e-02
3.405000000000000000e+02 1.002026054662680021e+00 1.344412923606091298e-02
3.430000000000000000e+02 1.025623409840563882e+00 2.151986815022254029e-02
3.455000000000000000e+02 1.030572500225678034e+00 3.479643350141053276e-02
3.457500000000000000e+02 1.007863258504965831e+00 3.949987589195162740e-02
3.485000000000000000e+02 1.052755810143349402e+00 2.584860950763572668e-02
3.527500000000000000e+02 1.083611321448425091e+00 1.131838573144701085e-02
3.530000000000000000e+02 1.103153442913175519e+00 2.476003345009490306e-02
3.540000000000000000e+02 1.125893392334692322e+00 2.981970988215175422e-02
3.560000000000000000e+02 1.152074388954570372e+00 2.380184956764082316e-02
3.597500000000000000e+02 1.105174840881813392e+00 2.840670900061848664e-02
3.600000000000000000e+02 1.110874799739093310e+00 2.932216060006687802e-02
3.602500000000000000e+02 1.102752265058071002e+00 1.400423007831867392e-02
3.607500000000000000e+02 1.059781435739363342e+00 2.384770396915250265e-02
3.625000000000000000e+02 1.018938842467576711e+00 2.881783299732070328e-02
3.635000000000000000e+02 1.029182679118106236e+00 1.307158223636206186e-02
3.637500000000000000e+02 1.023891670570044932e+00 2.922079409912768655e-02
3.645000000000000000e+02 1.070039195564265855e+00 1.521897675867241347e-02
3.655000000000000000e+02 1.021556345644881514e+00 1.192305234083936884e-02
3.675000000000000000e+02 1.047891737406086543e+00 1.631703410670418478e-02
3.685000000000000000e+02 1.031964789018261941e+00 1.244707026378467918e-02
3.695000000000000000e+02 1.016773955807999563e+00 2.324834305821281422e-02
3.700000000000000000e+02 1.057206829049861962e+00 1.203665397857403910e-02
3.732500000000000000e+02 1.022387232954365510e+00 2.308922130232627518e-02
3.737500000000000000e+02 1.026167828521327818e+00 2.103390962077356791e-02
3.750000000000000000e+02 1.044184456315077947e+00 1.678765781258393514e-02
3.757500000000000000e+02 1.033838632947826408e+00 1.146399339123866865e-02
3.760000000000000000e+02 1.053960427801376110e+00 2.026486045874167571e-02
3.762500000000000000e+02 1.041164316034604909e+00 2.834662427181956768e-02
3.765000000000000000e+02 1.037116783148514632e+00 1.513841681351681123e-02
3.767500000000000000e+02 1.017519533646117358e+00 2.742979671840440128e-02
3.815000000000000000e+02 1.114571695889742253e+00 1.578398009718365996e-02
3.827500000000000000e+02 1.143464121911698106e+00 1.265978722784329505e-02
3.837500000000000000e+02 1.132377102247746459e+00 2.063520635741474332e-02
3.840000000000000000e+02 1.173608060063711100e+00 1.189986970606597867e-02
3.867500000000000000e+02 1.209876348290269688e+00 1.323127778893325515e-02
3.872500000000000000e+02 1.219830003835582266e+00 2.594950646286650620e-02
3.880000000000000000e+02 1.248110417302654485e+00 1.730020054905233653e-02
3.882500000000000000e+02 1.232700029014623277e+00 1.506258108642706192e-02
3.892500000000000000e+02 1.288498781718370179e+00 3.005068656067581140e-02
3.905000000000000000e+02 1.229980364068615328e+00 2.525799128099881150e-02
3.907500000000000000e+02 1.206933997790175850e+00 3.701167107204745427e-02
3.910000000000000000e+02 1.206435945499523710e+00 2.596513278478456560e-02
3.917500000000000000e+02 1.220764824815742777e+00 1.301279383725801458e-02
3.920000000000000000e+02 1.225071944979306826e+00 1.587574167888222698e-02
3.932500000000000000e+02 1.216490723076236735e+00 2.114888204966200447e-02
3.945000000000000000e+02 1.192013109087808997e+00 2.983676414166483090e-02
3.967500000000000000e+02 1.163681456326244978e+00 1.613768609070725252e-02
3.972500000000000000e+02 1.149697615360100178e+00 1.149293821398389599e-02
3.980000000000000000e+02 1.128863248970365385e+00 1.720157843499938929e-02
3.987500000000000000e+02 1.136889785595941449e+00 2.729507141830407949e-02
3.995000000000000000e+02 1.196460260593067648e+00 1.303114009096499604e-02
4.007500000000000000e+02 1.178137087325094035e+00 3.073620897770789132e-02
4.010000000000000000e+02 1.165115137755561747e+00 2.937863456376081303e-02
4.035000000000000000e+02 1.252734592578055528e+00 1.474629607068707500e-02
4.047500000000000000e+02 1.242024666800563226e+00 1.245639597852207098e-02
4.062500000000000000e+02 1.274554273014764316e+00 1.505563278014003525e-02
4.067500000000000000e+02 1.294599715969015019e+00 2.191475961900963415e-02
4.077500000000000000e+02 1.274517191009180817e+00 2.881338513285330860e-02
4.087500000000000000e+02 1.321635562018333099e+00 2.455008919164491585e-02
4.097500000000000000e+02 1.304105605673555601e+00 3.206672536098694598e-02
4.107500000000000000e+02 1.334298685725087363e+00 2.807411546581143127e-02
4.115000000000000000e+02 1.346452913612073976e+00 1.799360639592258171e-02
4.150000000000000000e+02 1.422874789405180751e+00 2.219700799983793243e-02
4.157500000000000000e+02 1.401009945640873555e+00 3.023848123359611922e-02
4.172500000000000000e+02 1.476478307152319536e+00 1.534660542013794975e-02
4.217500000000000000e+02 1.541393368124797991e+00 2.092101687886539080e-02
4.240000000000000000e+02 1.544883438926149877e+00 2.735170966945426468e-02
4.250000000000000000e+02 1.579707064902766023e+00 3.056188626190467147e-02
4.262500000000000000e+02 1.636750766084070996e+00 2.715774388304662001e-02
4.265000000000000000e+02 1.635712606004451120e+00 1.759419404594307970e-02
4.295000000000000000e+02 1.743855699305000284e+00 2.814279098203243540e-02
4.302500000000000000e+02 1.730051062558058739e+00 2.538837470805605304e-02
4.305000000000000000e+02 1.768147581144024816e+00 1.375756016379449040e-02
4.307500000000000000e+02 1.763211537852336752e+00 2.140136203574411616e-02
4.315000000000000000e+02 1.768833280909118955e+00 2.405992938951529922e-02
4.327500000000000000e+02 1.780972072030903908e+00 1.958786634026501647e-02
4.345000000000000000e+02 1.784942701532627352e+00 3.769216811335542039e-02
4.350000000000000000e+02 1.840072643351857717e+00 1.570946151425278020e-02
4.352500000000000000e+02 1.786948373800933076e+00 2.578352987288362597e-02
4.367500000000000000e+02 1.807217016656402331e+00 2.227621142320142592e-02
4.387500000000000000e+02 1.800059731026446563e+00 2.942939473584260668e-02
4.390000000000000000e+02 1.789937333835216915e+00 3.722534557104883318e-02
4.392500000000000000e+02 1.852209702575660311e+00 2.690149157620470161e-02
4.397500000000000000e+02 1.846518575839965592e+00 1.885436076605637168e-02
4.407500000000000000e+02 1.843724018161017497e+00 1.938548033763744585e-02
4.410000000000000000e+02 1.846794842241747725e+00 1.459719190909034361e-02
4.415000000000000000e+02 1.849407745001402370e+00 1.375222566733527718e-02
4.445000000000000000e+02 1.793337377764503859e+00 1.653630513443939826e-02
4.462500000000000000e+02 1.813263645492419140e+00 1.814503792701318077e-02
4.472500000000000000e+02 1.821120171215164563e+00 2.530994966852196520e-02
