# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.40021394  0.03214472 -2.74496085]
# Fvar:0.25369798523923454
# FoM:12.916329395924251
# seed: 278900
# seed_gaps: 225596
# Time	Value	Error
0.000000000000000000e+00 1.734701415728310714e+00 2.924524476724959729e-02
7.500000000000000000e-01 1.724298275582984097e+00 1.813763346229125759e-02
1.750000000000000000e+00 1.886530896453775030e+00 1.983869048124307574e-02
2.500000000000000000e+00 1.701867584324640026e+00 2.048538640206922293e-02
3.750000000000000000e+00 1.554638745439886227e+00 2.756723249383513305e-02
4.750000000000000000e+00 1.741133099028247200e+00 1.911125929361769116e-02
5.750000000000000000e+00 1.793489297574360153e+00 4.909602641947211077e-02
8.750000000000000000e+00 1.761386378912117134e+00 2.906190437028915996e-02
1.200000000000000000e+01 1.967269826432982427e+00 3.363123534872328180e-02
1.225000000000000000e+01 2.014633451783059748e+00 2.444356034417145135e-02
1.400000000000000000e+01 2.069682441569360876e+00 2.309604005296922100e-02
1.525000000000000000e+01 1.923208558376598765e+00 1.714731363333707459e-02
1.625000000000000000e+01 1.883078306169815308e+00 3.214005414447225484e-02
1.750000000000000000e+01 1.934590140060160168e+00 1.721669501776830480e-02
1.825000000000000000e+01 1.829079273606152967e+00 2.406551474279704922e-02
2.025000000000000000e+01 1.644683217819868259e+00 3.497763623479431538e-02
2.050000000000000000e+01 1.684663383490813571e+00 2.060906754559343676e-02
2.075000000000000000e+01 1.586415025175710980e+00 1.832296851416331460e-02
2.175000000000000000e+01 1.457827709144835504e+00 3.505539317395243992e-02
2.200000000000000000e+01 1.355313376199548170e+00 1.966522910893270248e-02
2.225000000000000000e+01 1.353568985533887270e+00 2.973366052009386237e-02
2.250000000000000000e+01 1.341697822952512498e+00 1.852121652321397569e-02
2.325000000000000000e+01 1.390599823774974375e+00 2.090806454202210826e-02
2.500000000000000000e+01 1.194465183954956711e+00 3.731055203573152568e-02
2.525000000000000000e+01 1.060009185456279424e+00 1.792311419350598942e-02
2.090000000000000000e+02 1.412155267363317979e+00 2.269423069899367471e-02
2.100000000000000000e+02 1.348742757779883616e+00 1.492963700006679981e-02
2.105000000000000000e+02 1.371816045084522040e+00 3.169929394286075119e-02
2.107500000000000000e+02 1.344511564190270514e+00 3.656411366706315696e-02
2.140000000000000000e+02 1.398965497485658238e+00 3.173009973230876690e-02
2.142500000000000000e+02 1.369011501130679154e+00 2.535026426921027642e-02
2.150000000000000000e+02 1.460473044230576001e+00 2.409969085208213055e-02
2.152500000000000000e+02 1.402713005980823047e+00 1.291715208430919797e-02
2.157500000000000000e+02 1.229979680553415111e+00 1.125384173627126672e-02
2.167500000000000000e+02 1.044977649943314768e+00 1.535024298333393517e-02
2.172500000000000000e+02 9.468170947506828750e-01 1.420585552626439825e-02
2.185000000000000000e+02 7.238427641072515684e-01 1.593572539833701743e-02
2.192500000000000000e+02 7.397589067404529706e-01 3.002717507268174574e-02
