α₁ f₁ α₂ f₂ α₃ variance ν μ
1.101977532062143439e+00 3.929479510292766854e-03 2.747847577466130620e+00 7.110393458750802864e+00 3.224571079172902976e+00 2.167707760747595094e-02 1.097757051941157691e+00 6.112420289630697834e-01
1.129358469952982613e+00 1.186997409036982462e-02 2.909911759061213132e+00 2.584909126205518493e-01 3.534584430088765661e+00 9.751527407019178195e-03 1.094370533940299373e+00 4.462209732462238954e-01
1.408849417493363010e-02 6.548604785796683552e-04 1.540365192129552252e+00 1.232001808774100399e-02 2.911657357019694636e+00 1.055738236635827242e-02 9.705956751557093254e-01 1.826764291517353755e-01
5.875813370942560843e-01 4.345811232246126615e-04 1.702954893972129291e+00 3.735039263830523728e-03 2.977693331017209566e+00 4.141812831629453767e-02 1.072250136682517008e+00 2.559745348577419088e-01
1.022840918075375249e+00 1.497268985015283048e-03 2.432167980122093454e+00 8.445237215712902978e-01 3.206650779274020202e+00 1.310625539482381495e-02 9.477544677652967042e-01 2.564756945849864245e-01
9.110824863507580584e-01 5.818673115091105817e-03 3.204860946717659864e+00 9.645115640066317386e-01 3.588756675541660890e+00 3.793419737755889670e-02 1.176817668242507331e+00 4.620857287004365155e-01
7.455236137307823530e-01 1.314773844993495297e-03 2.595841793087978022e+00 9.557431260948759041e-03 2.634284598535481692e+00 2.225251466582989224e-02 1.256753570327357794e+00 9.250502652690351102e-01
5.049733523222654785e-01 1.035931236838713923e-03 8.625011228388983486e-01 4.826092852631242228e-03 2.821527458818817280e+00 1.493549177875729689e-02 1.098501539148909689e+00 2.055413431430726523e-01
8.987874084494988924e-01 2.503103226298140395e-03 2.798363951797413485e+00 6.683757488495035703e-01 2.990855635049619377e+00 3.125751283367567135e-02 1.221756098541824764e+00 1.409907976212709801e-02
8.803887053992942580e-01 7.690651934369501430e-04 2.543514427156219782e+00 1.412732558563428460e-03 2.743681516487769478e+00 4.187332643834260765e-02 1.123750500001762687e+00 2.736668270473987974e+00
1.009634896423422301e+00 1.234769335692733954e-03 2.074151216172858359e+00 2.039521216748830038e-02 2.997188900362068864e+00 1.367681790618441653e-02 1.230910150198970765e+00 9.017705836789713381e-02
1.123039703948232271e+00 1.054088242335825265e-02 3.127732258323403514e+00 3.911617071827614561e-02 3.963066168697577218e+00 2.671967879066818041e-02 1.419968968905411355e+00 -4.156755134476253222e-02
2.584456666775591938e-02 2.882167311724843678e-04 1.947793909298003001e+00 9.415443778396267701e-04 2.448910330442471306e+00 1.899264873700334116e-02 8.861867725468924872e-01 7.606560813990264069e-01
8.315838493138918430e-01 1.172882048710924057e-03 2.271322405225942198e+00 3.430715650287549101e-01 3.390887725262851315e+00 1.372078745456235989e-02 1.110409416230717650e+00 4.229126960549385306e-01
5.488673244515964722e-01 2.690525424014360550e-03 2.661548045306454391e+00 4.737419665047351458e+00 3.452654922221480405e+00 2.261210607678360365e-02 1.138895787290954642e+00 1.120738284047336775e-01
9.238300033307488279e-01 2.668647757763134912e-03 2.150688236597941394e+00 6.265891130569581358e-02 3.448853419293626654e+00 1.153670882840134200e-02 1.075857834004816604e+00 -4.175258234576151306e-03
4.354338300212329260e-01 4.253864701606228189e-04 2.315812309519080792e+00 6.410089480887484759e-02 3.572763474088740843e+00 2.735400045549369816e-02 1.239611169119812173e+00 1.129623659434195737e+00
1.033671829328460356e+00 1.622623700472282946e-03 2.408255139064043426e+00 2.799602834776559468e-01 3.394653837633440752e+00 1.615513622608317351e-02 9.893598184069827273e-01 1.623020653526747459e-01
1.171966592797388573e+00 1.550158433311366914e-02 3.622914647461780824e+00 2.147798829555649380e+00 3.864946978722433091e+00 1.109526620038238896e-02 1.181037206177805388e+00 2.217516334151001245e-01
2.024416385159701071e-01 7.698664452738788761e-04 2.458470966621284948e+00 1.769663620832372664e-01 3.879004001775543387e+00 2.974351507716766624e-02 1.258802740895617500e+00 -1.563428830062274510e-03
1.131112961589567423e+00 8.595319361141927697e-03 3.162148051560965900e+00 5.997785547147745255e+00 3.880909271274164851e+00 2.117566180210091881e-02 1.033601585366531683e+00 5.833368127337823505e-01
1.140902205884435139e+00 3.710596328953646690e-04 2.398795246083055499e+00 8.056664783188944412e+00 2.756424652784192464e+00 2.320899225785812495e-02 1.128133865846436157e+00 1.916477474396023062e-01
9.723230995938769716e-01 2.362905725597294702e-03 2.274170321579378484e+00 5.099492744528788535e-02 3.846951535428908109e+00 1.583039879861667873e-02 1.172203115290004094e+00 1.068311476322153786e-01
1.183078987356155076e-01 2.279664780366494770e-03 2.930504620648988645e+00 1.627790282506680342e-02 2.945544390483154640e+00 3.784876435011993306e-02 1.296183896115909784e+00 4.127130194971129207e-02
3.939038901417545313e-01 4.598666886906787113e-03 2.821762439567149450e+00 1.307207657589425087e-01 3.052911726462527398e+00 2.307909587164118023e-02 1.162917746584051670e+00 -7.174334236109203289e-02
5.002758996496883270e-01 6.272950611949808762e-04 1.132846595260804445e+00 2.211501838403388646e-03 2.721536746697405196e+00 1.994475536482661140e-02 1.187590586209938293e+00 -4.536091904751143877e-02
1.576359488115966490e-01 3.611525218355051466e-04 2.678172034170297255e+00 3.947211960189358354e-02 3.030979708952572960e+00 6.679458511817654154e-02 1.024129859298420930e+00 -3.246635126008174943e-01
1.133533331203435468e+00 3.902073698527697208e-04 1.331518386610523796e+00 1.556967771911905475e-02 3.354430305191644202e+00 1.476693749326756303e-02 1.290427687206155971e+00 1.478594962245952937e-01
2.480997529835917703e-01 2.771776652403171518e-03 2.303193844771072030e+00 5.483141713896297897e-01 2.970502891333120399e+00 8.990424129198917522e-03 1.064331374290560683e+00 2.650132677904427081e-01
5.653005852891115346e-01 2.213170003008282406e-03 2.225653472391749155e+00 3.749594703371663534e-02 3.130897394254850585e+00 1.311933084156599767e-02 1.286236446410214951e+00 2.009347067791106556e-01
3.467398102325275899e-01 1.019822449522588730e-03 2.156164760329400298e+00 7.861889706786984178e-02 3.803460769380621720e+00 1.909706894262200305e-02 1.072715835129366413e+00 5.854218850395503937e-02
3.823924984430351892e-01 3.213661917267162434e-03 2.718370019765051548e+00 2.773088594146841043e-02 2.858975432022558216e+00 2.317202725398934821e-02 1.035619473495103637e+00 4.023923484885131296e-01
5.068555929472047250e-01 6.990851872339027585e-04 2.102372475438159860e+00 4.764687883425590409e-02 3.514545660745485467e+00 1.230733763151077229e-02 1.288422667000611588e+00 -4.786483764396887164e-03
3.434850860764906422e-01 1.253266293376694308e-03 2.314866023081831425e+00 7.943308589725270319e-02 3.933879732877727520e+00 1.809978971699292838e-02 1.146600979598961123e+00 3.040244704966343914e-01
9.274815295947065330e-01 5.168350209710770825e-04 2.012091929179638417e+00 3.251184645654993377e-02 3.679528440769519015e+00 2.175806709003880179e-02 1.054178516857755321e+00 -2.456228900328923936e-01
1.125893703588686012e+00 1.198936591418446607e-02 2.906733918857927979e+00 5.303188440254889141e-02 3.181966497810685635e+00 1.097830595572559485e-02 1.105308195197630017e+00 4.155591262575901723e-01
1.067269188078423969e+00 4.441876333508862004e-03 2.443831838147163538e+00 1.324518896818168978e-01 3.462699551396163145e+00 1.062367605750917307e-02 1.215083571299062637e+00 4.793529706306037252e-01
8.917412329525040704e-01 7.754367234559261628e-03 2.770664593833326528e+00 9.040618815864633062e-03 3.209418207224566721e+00 1.693931376973677530e-02 1.251665521592688401e+00 2.685871219181291680e-01
4.602287032945601153e-02 2.829927801416970423e-03 2.582246848814266915e+00 1.677268335087221673e-02 2.597126364921375163e+00 1.402183046888089146e-02 1.059055490945830735e+00 4.049058554047527125e-01
1.026042930958556365e+00 8.972678799599238158e-04 2.162496014823431345e+00 7.880923519250672415e-02 3.448303564560570855e+00 1.425252652111787428e-02 1.376918188790086539e+00 -4.111789044229644530e-01
8.044729683984714885e-01 4.174785975904439159e-03 2.305193655136588582e+00 1.715022173261488217e-02 2.755060536532607518e+00 1.308691585465258933e-02 1.205317036136253739e+00 6.223015440683030697e-01
6.122646032768579438e-01 7.848710682077737668e-04 1.904905577496453839e+00 2.111875379097774563e-02 3.027336916575718462e+00 1.235881515794238876e-02 1.136186883407360515e+00 2.220888865546487012e-01
9.220763442717980762e-01 2.679282916153002264e-03 2.437072413221780920e+00 2.872384593884969028e-01 3.205487497443423983e+00 1.526653212453536052e-02 1.069507647023790309e+00 2.647005468233085690e-01
4.025449078324284669e-01 6.498769497562632965e-04 2.120742998849854732e+00 3.714611910399881478e-02 3.799440474583900329e+00 2.164222530072210451e-02 1.097787593161692499e+00 -2.609110852529114011e-01
2.901379888214112857e-01 2.726709737352227356e-03 1.699198387949521827e+00 4.384132849650657776e-03 2.866877567855301123e+00 1.695430788677600512e-02 1.214565676389196103e+00 2.848091504540739560e-03
4.555358037999701071e-01 5.113900998988916112e-03 2.955768172703656660e+00 8.353883092050676251e-02 3.002715217030403672e+00 1.862200680568871711e-02 1.182333900273857985e+00 2.727931336403132123e-01
1.224202606601031196e+00 8.087977048948220143e-03 2.807295643533745277e+00 1.900227111667072283e-02 3.214023743141686928e+00 2.472548093019403051e-02 1.125707394018970575e+00 3.295148101003243513e-01
4.025449078324284669e-01 6.498769497562632965e-04 2.120742998849854732e+00 3.714611910399881478e-02 3.799440474583900329e+00 2.164222530072210451e-02 1.097787593161692499e+00 -2.609110852529114011e-01
1.164746447021957954e+00 5.703408043194964187e-03 2.897696683992781352e+00 9.157682354496796129e-02 3.269082426344785741e+00 2.354766526344450467e-02 1.044452295708665712e+00 -6.136740029885764391e-01
5.055821256175803136e-01 2.286158727001677982e-03 2.621006092005003563e+00 8.580731031320575353e-01 3.400027241807640266e+00 2.453225457243918273e-02 1.049914548522592250e+00 1.576880845932476238e-01
3.197849352138618650e-01 4.778217197362127910e-03 2.894474354552307283e+00 2.954261509386724854e-02 3.150889169557359981e+00 2.483865411078326271e-02 1.254328844846251068e+00 2.042592465919520484e-01
9.866420221094351906e-02 1.868965094630384250e-03 2.582374655868308277e+00 1.910671283854440197e-02 2.924313570116492844e+00 2.962199052769025343e-02 1.149766658220367832e+00 4.224096839055268005e-01
9.839955285293386922e-01 4.248632266172050996e-03 2.232297875258895115e+00 3.558527342027506535e-02 3.427440205644746385e+00 1.117743545237786899e-02 1.169875069981878069e+00 2.269281003400429597e-01
6.129445697977005114e-01 6.699074907933352807e-03 2.821078258595790089e+00 2.443421060659337757e-02 3.234418667884253917e+00 1.211353739916080051e-02 1.091758585077921451e+00 1.706409465676843873e-01
5.618742525474067495e-01 2.465786599682815751e-03 2.354132593073746449e+00 2.329763839171496154e-02 3.134279958307788050e+00 1.886465926873187246e-02 1.269453396477860041e+00 3.065357009409269695e-02
3.307161512206928666e-01 4.720987117619295653e-04 2.593998321514645156e+00 2.211974410340826480e-01 2.834869288629804363e+00 4.150523686032269594e-02 1.200837090003942897e+00 -3.852828897913329609e-03
7.276426956252847189e-01 3.813152997443629635e-03 2.629404319382222965e+00 6.538136666073114389e-01 3.727797730934961695e+00 1.438739957520041891e-02 1.030019994903392133e+00 -6.138290428240866792e-02
1.019381369337581500e+00 3.413281546980795941e-03 2.662275249307842095e+00 5.571401609790992138e-02 3.311972343982685363e+00 2.282403177029605768e-02 1.179549288772424820e+00 8.108453148956551448e-01
2.634016281271719939e-01 2.597307520027753152e-03 2.284011437813645351e+00 6.446813837488966914e-02 3.801917281286024686e+00 1.527027082789263017e-02 1.158438297564408082e+00 4.196167598223843331e-01
7.332796229241607400e-02 7.530959953064169949e-04 2.294838849161969119e+00 8.445566150301106467e-02 3.787057339319322313e+00 2.059397889606885343e-02 1.098950173983041623e+00 5.179949315864537107e-01
