logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.129579903304921318e+05 -1.129639830447788263e+05 1.800000000000000044e+00
-1.129639830447788263e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.926319137500978468e+04 -1.926918658929647427e+04 2.200000000000000011e-01
-1.926918658929647427e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -9.904045272034612935e+03 -9.910042986321304852e+03 5.999999999999999778e-02
-9.910042986321304852e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -9.379220731281853659e+03 -9.385220945568544266e+03 1.110000000000000098e+00
-9.385220945568544266e+03 2.836629552456915917e+04 -1.000000000000000021e-02 4.000000000000000000e+02 -9.299439657400314900e+03 -9.305442371687006016e+03 1.675000000000000044e+00
-9.305442371687006016e+03 2.852888619708435726e+04 -1.250000000000000069e-02 4.000000000000000000e+02 -8.461848324157122988e+03 -8.467853538443814614e+03 1.125000000000000000e+00
-8.467853538443814614e+03 2.907516876322805274e+03 -1.500000000000000118e-02 4.000000000000000000e+02 -8.024094018832738584e+03 -8.030101733119429809e+03 2.399999999999999911e-01
-8.030101733119429809e+03 5.698885723273248232e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -7.608191927144268448e+03 -7.614202141430960182e+03 2.550000000000000044e-01
-7.614202141430960182e+03 4.925247820160891479e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -6.296694952111072780e+03 -6.302707666397764115e+03 1.199999999999999956e-01
-6.302707666397764115e+03 7.520089350085736442e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -5.069097015246461524e+03 -5.075112229533152458e+03 1.949999999999999956e+00
-5.075112229533152458e+03 1.155414663787620611e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -4.512239791670228442e+03 -4.518257505956919886e+03 1.294999999999999929e+00
-4.518257505956919886e+03 8.526217531596388426e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -4.047935324360791128e+03 -4.053955538647482626e+03 2.800000000000000266e-01
-4.053955538647482626e+03 9.834965582171651022e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -3.971312284214650845e+03 -3.977334998501341943e+03 5.749999999999999556e-01
-3.977334998501341943e+03 1.015879208565914496e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -3.953025638339294801e+03 -3.959050852625985954e+03 1.850000000000000089e+00
-3.959050852614523137e+03 2.599899165896254161e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.284900926177897418e+03 -3.290928640464588625e+03 1.340000000000000080e+00
-3.290928640464588625e+03 3.458067290026723413e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -3.237820886922868340e+03 -3.243851101209559602e+03 6.500000000000000222e-02
-3.243851101209559602e+03 1.958361633012982281e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -2.767924916121256501e+03 -2.773957630407947818e+03 1.540000000000000036e+00
-2.773957630407947818e+03 1.297435814861457857e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -2.681440590686742325e+03 -2.687475804973433696e+03 1.310000000000000053e+00
