weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -1.129579903304921318e+05 1.720604700158108458e-01 1.080512640662831370e+00 2.162145889252318209e+00 2.343827829594223644e+00 2.969714089991938089e+00 2.157033281128477743e-03 7.520485581213649517e-01 -1.998242689980728848e+00
0.000000000000000000e+00 -1.926319137500978468e+04 5.246170088060705949e-02 1.167805477425532423e+00 2.156510571173254898e-01 1.455405207767190623e+00 1.713068136725140578e+00 1.352987824512997400e-02 1.744751910909168480e+00 -2.068480466067279533e+00
0.000000000000000000e+00 -9.904045272034612935e+03 1.678427884560441952e-01 6.334402975431104033e-02 8.067156256708190032e-01 8.428780949072089967e-01 1.089262710430688230e+00 3.307144478786762549e-03 5.995110219993925460e-01 1.523512855842567237e+00
0.000000000000000000e+00 -9.379220731281853659e+03 1.190515356659788138e-01 1.270656777765672985e-01 1.816248282983014828e-01 1.845198917840569219e-01 2.342786550364778897e+00 1.513511449215499370e-03 4.077669330392415525e-01 -4.815793186790483515e-01
0.000000000000000000e+00 -9.299439657400314900e+03 8.125948645056751962e-03 3.776675964967657340e-01 1.855148707437082711e+00 4.073786378171051048e+00 2.736526944188437227e+00 4.350246038451442698e-02 3.644960603867932747e-01 2.549122506025899515e+00
0.000000000000000000e+00 -8.461848324157122988e+03 3.678078060935827120e-02 1.325392949428195521e+00 1.453555057387956539e+00 3.232332149357345585e+00 3.202036858110741235e+00 8.197789145578569803e-02 1.283003733059360885e+00 3.184166075851480482e+00
0.000000000000000000e+00 -8.024094018832738584e+03 6.007725210712633324e-02 8.200824804769262233e-01 3.452530367860729976e-01 1.274172865363535356e+00 1.796841581480717487e+00 2.764192615915501625e-02 4.413216146484637004e-01 2.240297859564000849e+00
0.000000000000000000e+00 -7.608191927144268448e+03 4.040885411100986202e-01 1.944019650615994799e+00 2.966583989958417433e+00 2.601342836177805040e+00 3.955413932314247205e+00 2.311443732770882865e-03 7.864845844695231847e-01 -7.722239447963371584e-01
0.000000000000000000e+00 -6.296694952111072780e+03 2.432137756538449436e-01 1.759169114146204860e-01 4.315744601408701975e-01 5.588313999388453412e-01 1.088939293175908762e+00 1.778423748299371929e-02 2.287393737538056249e-01 -2.216368645109310087e+00
0.000000000000000000e+00 -5.069097015246461524e+03 5.173938215345741387e-01 2.730162417907372241e+00 1.600073546440879069e+00 4.268191086987202176e+00 2.925945546796622665e+00 9.351603512831497753e-03 2.222168906031968039e+00 -2.078752912261983887e+00
0.000000000000000000e+00 -4.512239791670228442e+03 2.260430827334861115e-01 5.617483481742731044e+00 2.936911132111178713e+00 6.800643653105613140e+00 3.623826487485540149e+00 1.104959457382991700e-02 5.506607093428572686e-01 1.319909603238035967e+00
0.000000000000000000e+00 -4.047935324360791128e+03 2.712974379983232320e-02 2.344911756889654253e+00 3.124480525834340217e+00 6.134710098663863853e+00 3.799090444255349475e+00 1.447966812577390974e-02 5.221779914998231353e-01 -6.643952366858448810e-01
0.000000000000000000e+00 -3.971312284214650845e+03 2.379913967877542169e-01 5.279462571554693201e-02 5.337832148719059422e-01 1.461025540363076525e+00 1.590617822455135721e+00 6.546180697566675831e-03 6.371734015707261056e-01 -9.031046175895670602e-01
0.000000000000000000e+00 -3.953025638339294801e+03 3.117998620297893209e-01 1.694215503917252175e+00 1.921679603533983371e+00 2.161512606836430983e+00 3.070891501566106907e+00 4.227802741498517874e-04 2.060831471618759458e+00 1.940097669899342181e-01
0.000000000000000000e+00 -3.284900926177897418e+03 2.471700299017975944e-01 2.731615030744990680e+00 1.461192372121107308e+00 7.359393778907660888e+00 1.606534058340236104e+00 6.345059828386373502e-02 9.619129448027684548e-01 -2.415810541956445512e+00
