weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -1.129579903304921318e+05 1.376483760126486766e-01 7.881694117654173271e-01 5.198842363230139485e-01 3.479990097999126064e-01 4.394082185397635287e-01 1.322217204310971450e-02 4.435449472732202469e-01 1.918598270916438420e-02
0.000000000000000000e+00 -1.926319137500978468e+04 4.196936070448564760e-02 7.955654421722361258e-01 4.133952450141453738e-02 1.025202585663474997e-01 3.956868413057011979e-01 1.784580049717432448e-01 8.629982574046324295e-01 1.643002510286728501e-02
0.000000000000000000e+00 -9.904045272034612935e+03 1.342742307648353561e-01 5.181287645517516083e-01 1.667136294122381068e-01 5.113323875739281821e-01 8.848165450946543498e-02 2.759100569822059423e-02 3.370192394001003677e-01 8.609240123072999795e-01
0.000000000000000000e+00 -9.379220731281853659e+03 9.524122853278305101e-02 5.843985761215041430e-01 1.612319596804034916e-02 8.545218804292586956e-02 5.659898844102669857e-01 6.752777219455885493e-03 1.968022252447930720e-01 2.382339577377668993e-01
0.000000000000000000e+00 -9.299439657400314900e+03 6.500758916045401570e-03 6.880991360444386196e-01 4.626956499704943937e-01 7.259087682131678543e-01 4.109274334344091839e-01 4.619924340317268507e-01 1.659429479114948869e-01 9.774318272952333686e-01
0.000000000000000000e+00 -8.461848324157122988e+03 2.942462448748661696e-02 8.076159035265403352e-01 3.574806737529981904e-01 4.411427885303886853e-01 6.866364049203673714e-01 6.378171276594676309e-01 7.259818278243461709e-01 9.949495066092652884e-01
0.000000000000000000e+00 -8.024094018832738584e+03 4.806180168570106659e-02 7.619150406059050917e-01 7.238105996658505958e-02 1.761931091554581608e-01 3.971789454387124607e-01 3.386768663129887669e-01 2.211731008701560697e-01 9.578881614771691533e-01
0.000000000000000000e+00 -7.608191927144268448e+03 3.232708328880788962e-01 8.440815251723735591e-01 7.126136108032510297e-01 1.778392487524901311e-01 9.568556445298742608e-01 1.497560280562126866e-02 4.662931806598521467e-01 1.654258390742306961e-01
0.000000000000000000e+00 -6.296694952111072780e+03 1.945710205230759549e-01 6.153673353628666964e-01 5.013878172421382118e-02 2.860747596538968374e-01 1.842170519441437282e-01 2.333294589703100996e-01 7.759481592589378973e-02 1.171680342979763978e-02
0.000000000000000000e+00 -5.069097015246461524e+03 4.139150572276593110e-01 8.764112019459162628e-01 3.108820433389848370e-01 3.441848295095476518e-01 5.524635967029151162e-01 1.185177156610739413e-01 9.360569014993167514e-01 1.605684054017053608e-02
0.000000000000000000e+00 -4.512239791670228442e+03 1.808344661867888892e-01 9.450989798427731348e-01 7.183092199529349520e-01 3.314254280455118939e-01 6.461504547014027544e-01 1.435621401208942993e-01 3.014545433337316727e-01 8.164876341713551700e-01
