17:27:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=inference/simu_double, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:27:38 [ultranest] [INFO] Sampling 400 live points from prior ...
17:27:39 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:27:39 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:27:39 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:27:39 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-112957.99, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=40, ncalls=442, regioncalls=1680, ndraw=40, logz=-825.16, remainder_fraction=100.0000%, Lmin=-780.19, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=80, ncalls=490, regioncalls=3600, ndraw=40, logz=-336.47, remainder_fraction=100.0000%, Lmin=-329.07, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=120, ncalls=542, regioncalls=5680, ndraw=40, logz=-159.43, remainder_fraction=100.0000%, Lmin=-147.16, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=160, ncalls=596, regioncalls=7880, ndraw=40, logz=37.50, remainder_fraction=100.0000%, Lmin=45.32, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=180, ncalls=626, regioncalls=9080, ndraw=40, logz=95.75, remainder_fraction=100.0000%, Lmin=104.08, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=200, ncalls=658, regioncalls=10360, ndraw=40, logz=165.34, remainder_fraction=100.0000%, Lmin=177.84, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=240, ncalls=730, regioncalls=13280, ndraw=40, logz=281.23, remainder_fraction=100.0000%, Lmin=288.33, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=274, ncalls=790, regioncalls=15680, ndraw=40, logz=362.68, remainder_fraction=100.0000%, Lmin=370.53, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=280, ncalls=796, regioncalls=15920, ndraw=40, logz=377.93, remainder_fraction=100.0000%, Lmin=389.53, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=317, ncalls=880, regioncalls=19280, ndraw=40, logz=447.82, remainder_fraction=100.0000%, Lmin=457.43, Lmax=1017.43
17:27:39 [ultranest] [DEBUG] iteration=320, ncalls=885, regioncalls=19480, ndraw=40, logz=454.89, remainder_fraction=100.0000%, Lmin=461.84, Lmax=1017.43
17:27:40 [ultranest] [DEBUG] iteration=354, ncalls=976, regioncalls=23120, ndraw=40, logz=512.63, remainder_fraction=100.0000%, Lmin=519.19, Lmax=1017.43
17:27:40 [ultranest] [DEBUG] iteration=360, ncalls=1000, regioncalls=24080, ndraw=40, logz=517.17, remainder_fraction=100.0000%, Lmin=523.46, Lmax=1017.43
17:27:40 [ultranest] [DEBUG] iteration=393, ncalls=1088, regioncalls=27600, ndraw=40, logz=598.79, remainder_fraction=100.0000%, Lmin=605.92, Lmax=1017.43
17:27:40 [ultranest] [DEBUG] iteration=400, ncalls=1106, regioncalls=28320, ndraw=40, logz=608.26, remainder_fraction=100.0000%, Lmin=615.25, Lmax=1017.43
17:27:40 [ultranest] [DEBUG] iteration=437, ncalls=1187, regioncalls=31560, ndraw=40, logz=664.01, remainder_fraction=100.0000%, Lmin=671.86, Lmax=1017.43
17:27:40 [ultranest] [DEBUG] iteration=440, ncalls=1192, regioncalls=31760, ndraw=40, logz=670.67, remainder_fraction=100.0000%, Lmin=679.25, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=450, ncalls=1224, regioncalls=33040, ndraw=40, logz=680.89, remainder_fraction=100.0000%, Lmin=687.96, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=480, ncalls=1307, regioncalls=36360, ndraw=40, logz=716.27, remainder_fraction=100.0000%, Lmin=724.43, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=512, ncalls=1398, regioncalls=40000, ndraw=40, logz=752.10, remainder_fraction=100.0000%, Lmin=759.55, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=520, ncalls=1423, regioncalls=41000, ndraw=40, logz=758.87, remainder_fraction=100.0000%, Lmin=767.31, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=543, ncalls=1500, regioncalls=44120, ndraw=40, logz=778.12, remainder_fraction=100.0000%, Lmin=785.25, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=560, ncalls=1540, regioncalls=45760, ndraw=40, logz=789.98, remainder_fraction=100.0000%, Lmin=797.78, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=592, ncalls=1630, regioncalls=49600, ndraw=40, logz=807.57, remainder_fraction=100.0000%, Lmin=814.57, Lmax=1021.63
17:27:40 [ultranest] [DEBUG] iteration=600, ncalls=1649, regioncalls=50360, ndraw=40, logz=811.42, remainder_fraction=100.0000%, Lmin=818.41, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=617, ncalls=1757, regioncalls=54920, ndraw=40, logz=818.78, remainder_fraction=100.0000%, Lmin=825.66, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=630, ncalls=1804, regioncalls=56840, ndraw=40, logz=826.50, remainder_fraction=100.0000%, Lmin=834.00, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=640, ncalls=1828, regioncalls=57800, ndraw=40, logz=829.76, remainder_fraction=100.0000%, Lmin=836.69, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=675, ncalls=1911, regioncalls=61120, ndraw=40, logz=845.71, remainder_fraction=100.0000%, Lmin=852.38, Lmax=1021.63
