α₁ f₁ α₂ variance ν μ A ϕ T₀
1.353297221173339615e+00 1.391551697213365933e-02 3.072709201001043500e+00 2.086887509223857295e-02 1.117111402304170165e+00 1.538712587504110108e+00 3.487410572310153389e-01 1.964658753931969537e+00 5.249642653919363511e+02
1.227234273814739263e+00 1.027150066960598289e-02 3.421532348805840229e+00 2.621522901159874935e-02 1.392146588251266026e+00 1.738180130492432252e+00 6.055989570233977909e-02 3.344245847724144571e+00 5.393175118754725190e+02
1.453929314140990137e+00 1.053899736865800997e-02 2.988283682151277709e+00 2.469600610304707733e-02 1.257404312784800027e+00 8.456972140579172015e-01 9.632220938587940373e-02 5.348606145302195358e+00 3.968056737668748610e+02
1.292790443866375094e+00 1.136794990711285230e-02 2.738122666513526760e+00 1.495111669486244924e-02 1.039695985156824154e+00 8.646294470739459559e-01 1.035777043259794861e-01 4.475887744819855740e+00 6.353970132795027439e+02
1.453700531459221956e+00 3.619942835349812885e-03 2.581976489078392056e+00 2.316099903489834966e-02 1.115085373472741281e+00 1.871323189112469310e+00 1.683946159974312462e-01 5.581887917236650232e+00 6.001881440891149850e+02
1.325622968442834670e+00 1.177767135728176318e-02 3.049593036752346720e+00 1.479482371405714362e-02 1.033418690260237138e+00 1.232008372440760668e+00 2.357019549385903912e-01 2.381870632427289358e+00 2.679083141354635700e+02
1.370613276678969594e+00 2.110059355451701299e-02 3.644708257640809190e+00 2.033341967338926637e-02 1.314948193846756652e+00 1.862490195253340364e+00 1.823920228713803438e-01 1.519777737771933479e+00 4.511772955052756515e+02
1.196307412794573199e+00 6.233196252367095846e-03 2.695121403318879949e+00 1.845399644901313599e-02 1.076824666581674084e+00 1.055094715489397261e+00 3.644649961081972145e-02 6.009120791576376241e+00 5.845651907208552984e+02
7.807737407288708464e-01 1.744151359752043684e-03 2.667053982087365327e+00 3.851299033473172539e-02 9.912409256537898505e-01 1.972538608695638906e+00 9.754962660669447283e-02 4.628597959328131672e+00 6.452054171658325004e+02
1.366350496043174934e-01 5.466794949737647548e-03 2.863785978171496716e+00 1.658132657196530885e-02 9.612159527003716342e-01 1.229614161413815410e+00 2.280933513701804138e-01 2.368070265822349363e+00 6.381504094163123000e+02
1.421006449035558061e+00 7.672981143405189358e-03 2.920636970475625205e+00 2.811673865381970894e-02 1.161875114734808090e+00 2.986520389969436806e+00 3.589967534665207682e-01 3.139020196648773187e+00 6.646636126853484257e+02
1.196076805976635793e+00 1.345565958358957903e-03 2.708569586214799152e+00 5.669243730534451881e-02 1.033838496569547960e+00 2.121713635933168973e+00 6.272172714556213391e-01 4.151651481208303629e+00 7.252312609157828547e+02
