logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.386265116711571172e+05 -2.386325043854438118e+05 5.250000000000000222e-01
-2.386325043854438118e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.294460801562048437e+04 -9.295060322990718123e+04 9.599999999999999645e-01
-9.295060322990718123e+04 7.284064996897192032e+04 -5.000000000000000104e-03 4.000000000000000000e+02 -5.570100234294775146e+04 -5.570700005723444337e+04 1.399999999999999911e+00
-5.570700005723444337e+04 6.679513795415914501e+04 -7.499999999999999722e-03 4.000000000000000000e+02 -5.229175719745919923e+04 -5.229775741174589348e+04 9.749999999999999778e-01
-5.229775741174589348e+04 5.134421774356252718e+04 -1.000000000000000021e-02 4.000000000000000000e+02 -3.161558357468043323e+04 -3.162158628896712617e+04 1.004999999999999893e+00
-3.162158628896712617e+04 5.699622934960008570e+04 -1.250000000000000069e-02 4.000000000000000000e+02 -2.344004898393074109e+04 -2.344605419821743271e+04 1.700000000000000122e-01
-2.344605419821743271e+04 5.914037158464817912e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -2.249258060079883217e+04 -2.249858831508552248e+04 1.705000000000000071e+00
-2.249858831508552248e+04 5.927075859531790047e+04 -1.750000000000000167e-02 4.000000000000000000e+02 -1.930900564539218976e+04 -1.931501585967888241e+04 1.584999999999999964e+00
-1.931501585967888241e+04 3.448068325680271300e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -1.904490497682355635e+04 -1.905091769111024769e+04 1.834999999999999964e+00
-1.905091769111024769e+04 9.397367758922335952e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -1.844126055827867822e+04 -1.844727577256536824e+04 8.100000000000000533e-01
-1.844727577256536824e+04 1.098682569236956397e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -1.822428797435964952e+04 -1.823030568864634188e+04 1.280000000000000027e+00
-1.823030568864634188e+04 3.556148833599232830e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -1.725915531873227519e+04 -1.726517553301896623e+04 7.099999999999999645e-01
-1.726517553301896623e+04 6.400718083932622449e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -1.594254443892935706e+04 -1.594856715321604861e+04 1.705000000000000071e+00
-1.594856715321604861e+04 8.931958045661118604e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.306543201967416826e+04 -1.307145723396086032e+04 1.804999999999999938e+00
-1.307145723396086032e+04 1.546452041685385439e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -1.292219500836550287e+04 -1.292822272265219362e+04 1.770000000000000018e+00
-1.292822272265219362e+04 1.105592206288856914e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -1.286155521429835790e+04 -1.286758542858504916e+04 6.400000000000000133e-01
-1.286758542858504916e+04 5.784211224280957708e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.245395678283956295e+04 -1.245998949712625472e+04 1.554999999999999938e+00
-1.245998949712625472e+04 1.923659599470120725e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.184390812681067291e+04 -1.184994334109736337e+04 1.879999999999999893e+00
-1.184994334109736337e+04 3.567726611784578949e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -1.051421804787563269e+04 -1.052025576216232366e+04 7.800000000000000266e-01
-1.052025576216232366e+04 7.660859344657657175e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -1.035146870072596357e+04 -1.035750891501265505e+04 1.749999999999999889e-01
-1.035750891501265505e+04 5.726733910337616180e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -9.977057204855442251e+03 -9.983099919142134240e+03 1.330000000000000071e+00
-9.983099919142134240e+03 6.547481801790205509e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -8.558630040955264121e+03 -8.564675255241954801e+03 2.000000000000000000e+00
-8.564675255241954801e+03 7.284230175149449451e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -8.364440290915241349e+03 -8.370488005201932538e+03 2.300000000000000100e-01
-8.370488005201932538e+03 8.009036667909972493e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -8.265178321923127442e+03 -8.271228536209819140e+03 5.000000000000000278e-02
-8.271228536209819140e+03 6.107808902275409082e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -8.067326046691693591e+03 -8.073378760978384889e+03 1.504999999999999893e+00
-8.073378760978384889e+03 1.286270039004012062e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -7.834576194507709261e+03 -7.840631408794400159e+03 5.100000000000000089e-01
-7.840631408794400159e+03 1.829406254617651655e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -7.765361252943452200e+03 -7.771418967230143608e+03 1.695000000000000062e+00
-7.771418967230143608e+03 8.407416210925313749e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -6.953431556908023595e+03 -6.959491771194714602e+03 9.649999999999999689e-01
-6.959491771194714602e+03 4.000906783121895387e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -6.919493202423302137e+03 -6.925555916709993653e+03 1.814999999999999947e+00
-6.925555916709993653e+03 2.327443239082715252e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -6.831273906855823952e+03 -6.837339121142515069e+03 1.389999999999999902e+00
-6.837339121142515069e+03 4.379791588692698667e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -6.813967909459803195e+03 -6.820035623746494821e+03 1.729999999999999982e+00
-6.820035623715932161e+03 2.910141419968226373e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -6.749354227850831194e+03 -6.755424442137522419e+03 2.750000000000000222e-01
-6.755424442137522419e+03 5.010674721248174990e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -6.512148044021851092e+03 -6.518220758308542827e+03 4.949999999999999956e-01
-6.518220758308542827e+03 8.312233813260193926e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -6.379660679457359947e+03 -6.385735893744051282e+03 9.250000000000000444e-01
-6.385735893744051282e+03 3.669986197729227939e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -5.732511128291622299e+03 -5.738588842578313233e+03 1.375000000000000000e+00
-5.738588842578313233e+03 3.011694381304660055e+02 -8.750000000000003608e-02 4.000000000000000000e+02 -5.035735670102637414e+03 -5.041815884389328858e+03 1.084999999999999964e+00
-5.041815884389328858e+03 5.268470932457958043e+02 -9.000000000000003830e-02 4.000000000000000000e+02 -4.731463274577841730e+03 -4.737545988864532774e+03 1.699999999999999956e+00
-4.737545988864532774e+03 1.318746806040918784e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -4.474599691566565525e+03 -4.480684905853257078e+03 8.599999999999999867e-01
-4.480684905853257078e+03 1.742352937489425528e+02 -9.500000000000004274e-02 4.000000000000000000e+02 -4.445437683520043720e+03 -4.451525397806734873e+03 1.324999999999999956e+00
-4.451525397806734873e+03 1.015135379659630104e+02 -9.750000000000004496e-02 4.000000000000000000e+02 -4.228259466226010773e+03 -4.234349680512702434e+03 6.450000000000000178e-01
