weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -2.386265116711571172e+05 1.285340339009697352e+00 1.206295734948039378e-01 1.289114150255272762e+00 6.767797699014561387e-03 1.218401688462450450e+00 3.589668927153264466e+00 4.490851601868530274e+00 5.558580423609377874e+00 1.033715314245983130e+01
0.000000000000000000e+00 -9.294460801562048437e+04 6.362186967309906294e-01 5.962992667178475736e-04 2.512990912180576686e+00 3.526584045880933049e-02 7.440369734348762920e-01 6.110999438604325373e-01 8.466083731178352112e-01 3.016110872137237831e+00 7.901197337339331384e+00
0.000000000000000000e+00 -5.570100234294775146e+04 2.380784060670175228e-01 1.783927345195954306e+00 1.845035821910684382e+00 2.658274862556615423e-02 2.038899422803804040e-01 1.679140354903840837e+00 6.954600090464479578e+00 3.884520473169506549e-01 5.809568766315494486e+02
0.000000000000000000e+00 -5.229175719745919923e+04 2.247267574002970170e-01 6.838777863586995132e+00 3.113081255911748002e+00 3.034341939634460378e-03 8.142246038658557117e-01 2.654804047770955577e-01 2.674974888121243843e+00 3.049754528794919928e+00 1.316886857541957738e+02
0.000000000000000000e+00 -3.161558357468043323e+04 4.175406913142351017e-01 5.359972216588739791e-01 3.036741312991152686e+00 3.585000569463805270e-02 5.447087838002219184e-01 3.933537917865681077e+00 9.186347183382546078e+00 5.339723884339047544e+00 5.133711606858796586e+02
0.000000000000000000e+00 -2.344004898393074109e+04 1.309133091441936347e-01 2.506405424923897396e+00 3.674346987219268001e+00 2.047655668807580459e-02 8.856647669394710487e-01 1.910792410302764033e-02 3.194464471262982830e+00 4.459205708301894333e+00 3.915426230967781294e+02
0.000000000000000000e+00 -2.249258060079883217e+04 9.615960086121544403e-01 4.525119322740644989e+00 2.918890539258498507e+00 1.788355355471529795e-02 1.445183817205307752e+00 1.873581951425147496e+00 3.932150389227274889e+00 3.994587074090438339e+00 3.043922648455770741e+01
0.000000000000000000e+00 -1.930900564539218976e+04 1.187834098757158063e+00 3.619537522970172521e-04 3.091096670817754521e+00 1.106475654131858569e-02 1.579526839932471338e-01 -3.159775061874588786e+00 2.420654967694872983e+00 3.019737174480218833e+00 1.133701330503749602e+02
0.000000000000000000e+00 -1.904490497682355635e+04 4.632432765327046953e-01 2.808504303187837170e+00 7.976415268831850147e-01 8.913949326863936096e-03 1.145373206116481413e+00 -5.470182828535239405e-01 3.750669481249929937e+00 4.682526325498739261e+00 5.478795293348471205e+02
0.000000000000000000e+00 -1.844126055827867822e+04 9.673803465967935056e-01 2.420376731951690286e-01 9.980218152336539639e-01 9.422421079596492860e-03 7.354708382884480589e-01 2.563227710589470743e-01 8.810933350061366909e+00 1.354855241239462771e+00 6.705235966777845533e+02
0.000000000000000000e+00 -1.822428797435964952e+04 1.825839034789466520e-01 9.501309200196655924e-02 3.188949624718878884e+00 5.745331819356876146e-02 1.289308408585768007e+00 2.246332753933670823e-01 9.676811530403695016e+00 5.176109981586646924e+00 2.044183405488280698e+02
0.000000000000000000e+00 -1.725915531873227519e+04 4.975408416081454344e-01 1.125633567692730264e+00 2.152263602061550873e+00 2.133610771783675183e-02 8.310087566282269300e-01 1.256422457807426785e-01 5.152027478535600835e+00 8.434228480819851992e-01 4.152298036581578344e+02
0.000000000000000000e+00 -1.594254443892935706e+04 5.798382419937033738e-01 4.652477555319132208e-01 2.616915563189533334e+00 1.272939247773792817e-02 1.225364930737113500e+00 -2.175374718215581371e+00 4.433902658790006335e+00 5.647348310176683484e+00 2.734251192750585915e+02
