weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -2.386265116711571172e+05 8.568935593397982720e-01 5.794502007806406896e-01 1.390159989410499897e-03 7.910935889075076943e-02 6.994861957490405846e-01 9.258096012427743382e-01 9.334569140546362664e-01 8.846755509912740401e-01 1.417018936594904854e-02
0.000000000000000000e+00 -9.294460801562048437e+04 4.241457978206604196e-01 7.397192535651553325e-02 5.579352657753612332e-01 4.036777419878475603e-01 4.381751042431014653e-01 3.015550103409779803e-01 4.338750290689952216e-01 4.800289542138489463e-01 1.083097647339181790e-02
0.000000000000000000e+00 -5.570100234294775146e+04 1.587189373780116819e-01 8.359001296621587640e-01 4.271639840753933548e-01 3.286281463779247014e-01 6.365002833255117842e-02 5.732839348088406561e-01 9.737738769599431077e-01 6.182406348465951940e-02 7.963768014140499840e-01
0.000000000000000000e+00 -5.229175719745919923e+04 1.498178382668646780e-01 9.638269020746462745e-01 7.650716419462374462e-01 2.394655917238952547e-02 4.842098025707262110e-01 2.272399990769029543e-01 8.374274908000020057e-01 4.853835084746055406e-01 1.805191031585959838e-01
0.000000000000000000e+00 -3.161558357468043323e+04 2.783604608761567345e-01 7.214294672094618832e-01 7.311180381942087303e-01 4.081827815542619087e-01 2.970940755472527561e-01 9.527529479962184578e-01 9.867129798812652730e-01 8.498434509384155122e-01 7.037301722904449885e-01
0.000000000000000000e+00 -2.344004898393074109e+04 8.727553942946242316e-02 8.682706494560681332e-01 9.158320712869060243e-01 2.649212590137662859e-01 5.285783453767539664e-01 1.812743349440008034e-01 8.772643203546816038e-01 7.097046307398429121e-01 5.367273791593942800e-01
0.000000000000000000e+00 -2.249258060079883217e+04 6.410640057414362936e-01 9.245133013691489987e-01 6.441850840751148777e-01 2.345365216552687260e-01 7.838675735378660692e-01 6.228711581644406081e-01 9.145294996209371030e-01 6.357582784524844488e-01 4.172615008164182182e-02
0.000000000000000000e+00 -1.930900564539218976e+04 7.918893991714386349e-01 2.644640685539578762e-02 6.767959782242739530e-01 1.437817694970545679e-01 4.053596422551941636e-02 1.315337710076414091e-03 8.116621908431389532e-01 4.806060981568800461e-01 1.554079959566483371e-01
0.000000000000000000e+00 -1.904490497682355635e+04 3.088288510218031302e-01 8.791044553918461180e-01 9.454940684261980977e-02 1.119313008281404009e-01 6.670063972570424715e-01 9.956405527685485701e-02 9.069049939636141255e-01 7.452472108610537216e-01 7.510343102602428100e-01
0.000000000000000000e+00 -1.844126055827867822e+04 6.449202310645290037e-01 6.457433810671526775e-01 1.010396031776505943e-02 1.195788664786556765e-01 4.324022813607091287e-01 2.254218625695111333e-01 9.852221220832114712e-01 2.156319088172228282e-01 9.191550331429534371e-01
0.000000000000000000e+00 -1.822428797435964952e+04 1.217226023192977680e-01 5.567254205141346501e-01 7.875394364213373910e-01 5.403319556683405800e-01 7.284585430550805096e-01 2.191942554079905348e-01 9.883880896531187510e-01 8.238034895568142613e-01 2.802170535282084707e-01
0.000000000000000000e+00 -1.725915531873227519e+04 3.316938944054302896e-01 7.920640198599739890e-01 4.724459831283707167e-01 2.745297386641400994e-01 4.948668465788671478e-01 2.003897525909397181e-01 9.494340020761403709e-01 1.342349153888926505e-01 5.691978117315391605e-01
0.000000000000000000e+00 -1.594254443892935706e+04 3.865588279958022122e-01 7.079532911467544265e-01 5.956084727358909037e-01 1.674273124284987313e-01 7.024414000450317497e-01 9.176933649945762106e-03 9.317931947200354115e-01 8.988033989262813606e-01 3.748116782385998436e-01
0.000000000000000000e+00 -1.306543201967416826e+04 8.561615642181228392e-01 5.269969798074263245e-01 5.997783522653693522e-01 6.787658547716970414e-01 7.089590914364867213e-01 9.353939901456354011e-02 5.534417955418465818e-01 5.311193591798463176e-01 7.232530594560970805e-03
0.000000000000000000e+00 -1.292219500836550287e+04 9.865925655332498101e-01 7.846512686093154443e-02 3.581080052924596746e-01 5.384025146787184690e-01 4.275239074791610250e-01 2.185790205736487524e-01 9.148346680573852252e-01 8.640760895175252365e-01 8.018965464895833062e-02
0.000000000000000000e+00 -1.286155521429835790e+04 4.138119692800468208e-02 6.189209897410679062e-01 4.219369195866354838e-01 3.444029721123104126e-01 6.771696053487522571e-01 7.223064232366690485e-01 8.488437465059819331e-01 1.467246510661527337e-01 8.436681781362116439e-01
0.000000000000000000e+00 -1.245395678283956295e+04 4.609574623524652637e-01 2.603694309352935221e-01 2.394774188464121600e-03 1.611023481055255946e-01 2.551868427572302478e-01 9.383008918178145086e-01 9.049455836250712704e-01 7.728170314599158708e-02 2.403303197038748618e-01
0.000000000000000000e+00 -1.184390812681067291e+04 3.279270722384070025e-01 8.512909021745420635e-01 8.375746278482815166e-01 3.278965844198792334e-01 2.054089046997628065e-01 7.273058923999164982e-02 8.719135400815438697e-01 5.979504576996808041e-01 1.594782371443277391e-01
0.000000000000000000e+00 -1.051421804787563269e+04 2.213706902492275086e-01 9.641620615587888077e-01 7.952144144911365009e-01 5.015980814875333760e-01 8.376392611419302137e-01 8.733475647322727076e-01 9.331379192416134893e-01 4.534132809806523667e-02 1.178885847128769981e-01
0.000000000000000000e+00 -1.035146870072596357e+04 2.516138616265596317e-01 5.330733977627859499e-01 5.632009406399406393e-01 9.299272970266114768e-02 4.944899089955244742e-01 9.902730220485542745e-01 5.057744675033455373e-01 4.121578977956685819e-01 9.585097356877855246e-01
0.000000000000000000e+00 -9.977057204855442251e+03 2.545902366229871872e-01 9.422487297865688172e-01 1.620526076636644719e-01 3.627516957009677689e-01 5.688242660306763732e-02 3.183899561432390612e-03 7.652843791591772415e-01 6.129671745466034327e-01 4.123295561985473867e-02
0.000000000000000000e+00 -8.558630040955264121e+03 1.258103255425448985e-01 6.499438949500946361e-01 8.561573296529867427e-02 7.554424901603140619e-02 2.584998058906873286e-01 6.892617449729753210e-01 8.178340607239521498e-01 7.322708017415212600e-01 6.386186844702101961e-02
0.000000000000000000e+00 -8.364440290915241349e+03 1.251042145006520112e-01 2.266363310738184200e-02 9.411423861933366775e-01 2.208212883332094645e-01 3.903803622395840556e-03 5.523234871467880280e-01 5.351416722680933935e-01 1.942805927627541118e-01 2.683099042367453890e-01
0.000000000000000000e+00 -8.265178321923127442e+03 8.626401749372115679e-01 3.921494018355003996e-01 6.671862570030138162e-01 3.442236976230904633e-01 5.180082986236471676e-01 5.731513610139634674e-01 9.943542414567806409e-01 2.194183742188698938e-01 3.659711273548996724e-01
0.000000000000000000e+00 -8.067326046691693591e+03 5.389486396079994357e-01 4.456013650685324290e-01 8.261231533126476290e-01 9.593529698623501911e-01 1.893709816751756314e-01 2.793704627866345769e-01 4.683786917679300110e-01 4.877456703100201407e-01 6.461906732508349016e-03
