18:59:49 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=True, log_dir=inference/simu_periodic_rednoise_123_factor, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:59:52 [ultranest] [INFO] Sampling 400 live points from prior ...
18:59:53 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:59:53 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
18:59:53 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:59:53 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-238626.51, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=40, ncalls=441, regioncalls=1640, ndraw=40, logz=-4234.35, remainder_fraction=100.0000%, Lmin=-3868.13, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=80, ncalls=487, regioncalls=3480, ndraw=40, logz=-1239.07, remainder_fraction=100.0000%, Lmin=-1188.56, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=117, ncalls=533, regioncalls=5320, ndraw=40, logz=-705.11, remainder_fraction=100.0000%, Lmin=-695.31, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=120, ncalls=540, regioncalls=5600, ndraw=40, logz=-681.46, remainder_fraction=100.0000%, Lmin=-668.24, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=160, ncalls=607, regioncalls=8280, ndraw=40, logz=-444.92, remainder_fraction=100.0000%, Lmin=-432.90, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=180, ncalls=637, regioncalls=9480, ndraw=40, logz=-352.62, remainder_fraction=100.0000%, Lmin=-346.18, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=200, ncalls=667, regioncalls=10680, ndraw=40, logz=-286.13, remainder_fraction=100.0000%, Lmin=-276.73, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=238, ncalls=739, regioncalls=13560, ndraw=40, logz=-145.22, remainder_fraction=100.0000%, Lmin=-138.33, Lmax=916.79
18:59:53 [ultranest] [DEBUG] iteration=240, ncalls=742, regioncalls=13680, ndraw=40, logz=-141.55, remainder_fraction=100.0000%, Lmin=-132.94, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=270, ncalls=797, regioncalls=15880, ndraw=40, logz=-69.28, remainder_fraction=100.0000%, Lmin=-58.93, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=280, ncalls=814, regioncalls=16560, ndraw=40, logz=-43.32, remainder_fraction=100.0000%, Lmin=-36.40, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=311, ncalls=889, regioncalls=19640, ndraw=40, logz=26.29, remainder_fraction=100.0000%, Lmin=39.43, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=320, ncalls=908, regioncalls=20440, ndraw=40, logz=43.56, remainder_fraction=100.0000%, Lmin=49.75, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=359, ncalls=975, regioncalls=23200, ndraw=40, logz=123.79, remainder_fraction=100.0000%, Lmin=130.74, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=360, ncalls=980, regioncalls=23400, ndraw=40, logz=124.51, remainder_fraction=100.0000%, Lmin=133.90, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=393, ncalls=1057, regioncalls=26480, ndraw=40, logz=200.20, remainder_fraction=100.0000%, Lmin=208.43, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=400, ncalls=1074, regioncalls=27160, ndraw=40, logz=214.20, remainder_fraction=100.0000%, Lmin=222.71, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=431, ncalls=1150, regioncalls=30240, ndraw=40, logz=275.67, remainder_fraction=100.0000%, Lmin=284.09, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=440, ncalls=1168, regioncalls=30960, ndraw=40, logz=291.74, remainder_fraction=100.0000%, Lmin=299.17, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=450, ncalls=1197, regioncalls=32120, ndraw=40, logz=313.85, remainder_fraction=100.0000%, Lmin=324.90, Lmax=916.79
18:59:54 [ultranest] [DEBUG] iteration=475, ncalls=1280, regioncalls=35480, ndraw=40, logz=348.02, remainder_fraction=100.0000%, Lmin=357.24, Lmax=916.79
