α₁ f₁ α₂ variance ν μ
9.864779520509512345e-01 3.902990828461821125e-03 2.855429607115197221e+00 1.901400057097099930e-02 1.234222175057681170e+00 -7.272406783296004873e-01
3.828781819004465348e-01 2.706693960791001045e-03 2.634695851118767251e+00 1.842223197168527810e-02 9.100673425567012975e-01 3.175253480525880856e-01
9.052026874479645047e-01 7.303063523062125993e-03 3.179884444038147073e+00 1.570541045002835784e-02 1.208547917134344507e+00 1.566567917130346765e-01
1.229591681995537478e+00 2.627173517685924952e-03 2.421415925817115955e+00 1.455696525312402505e-02 9.558174327323669672e-01 9.713585556707177160e-01
5.896571306914448751e-01 4.518273385681805671e-03 2.959489184899309677e+00 1.823192154717691998e-02 1.168759697885150883e+00 2.449091848999897236e-01
9.860788213575522043e-01 1.367675180335803852e-03 2.794897982459214170e+00 4.128609728717197447e-02 1.059489229879643002e+00 -4.480355914765384862e-01
2.044609200251076286e-01 4.463011791305392974e-03 2.692303587946620613e+00 1.327039142640842884e-02 1.173886409311851731e+00 2.369047658070775608e-01
6.379617859698802906e-01 4.995216344636256404e-03 2.568590387741386927e+00 7.380862157620821096e-03 1.024240723874657366e+00 3.416091003746571375e-01
1.121211059290565248e-01 2.180245407550681930e-03 2.774266159686657129e+00 3.187371503879293105e-02 1.095299364698143929e+00 7.717486309837484626e-03
1.133737141165705564e+00 8.137630731456061165e-04 2.744512812266505897e+00 5.358614886058664373e-02 1.004901397661876139e+00 4.026730000680894817e-01
6.232880974946277686e-01 3.870868989556328879e-04 2.326979244897565025e+00 1.471937732425176830e-02 9.826725671789656724e-01 -4.297934215655185852e-02
1.232370288142823567e+00 1.107953517103997879e-02 2.924383773078560900e+00 1.358881957137015629e-02 1.180337307067489627e+00 1.656014928849108836e-02
1.239187048638708211e+00 1.275751794643055145e-02 2.797151707220706385e+00 8.560957747302044146e-03 1.092849617412430030e+00 1.779580896258442513e-01
7.029666725952662953e-02 1.713910265743193205e-03 2.735908321951884936e+00 4.402047552522198731e-02 1.193033421781922732e+00 5.046424102123605593e-01
1.806718755100564233e-02 1.338042637441615558e-03 2.637630477176676536e+00 2.496644696055468071e-02 1.034340005771946513e+00 5.196793664700363191e-01
5.452370852500758591e-01 2.145893331701698940e-03 2.712788204278059112e+00 2.793300149227093479e-02 1.133314311188391876e+00 1.490018882848463122e-01
1.222910608000916444e+00 8.379103229461684621e-03 2.922499580808504582e+00 1.425049330504284117e-02 1.109361804108472072e+00 4.058839345309026014e-01
1.165190241563768936e+00 3.827042354707632307e-03 2.633229759197969422e+00 1.554974622822277198e-02 1.193384035803667143e+00 2.380231936284601946e-01
7.754745109705230011e-01 5.525204726414810821e-03 2.742865652801847354e+00 1.180054579310261045e-02 1.204120080230648204e+00 -1.378216892652207037e-01
1.168427735107031129e+00 6.036406678741521557e-03 2.814218838106989473e+00 1.385064013757550047e-02 1.263405604153560624e+00 8.740824714685436758e-01
1.198896115621304936e+00 5.378039095846485519e-03 2.401309665632777701e+00 1.051503791895694144e-02 9.653348414475190209e-01 3.672535842248492721e-01
3.570944570005792906e-01 1.167811449663549604e-03 2.534342109419512656e+00 2.454438904410862973e-02 1.209470415599398940e+00 -2.539787577272539787e-02
9.413991368464871279e-01 9.213883392700548264e-03 2.993769123239840457e+00 9.758517862765324000e-03 1.107292685488140638e+00 4.284532828608080823e-01
7.780340172404702770e-01 4.204814001337643832e-03 2.798942597255900999e+00 1.631356085967484645e-02 1.209224887733824971e+00 -9.872891914863562990e-02
8.299642432015919002e-01 6.245353526401142656e-03 2.870606748634341621e+00 1.521130101624129649e-02 1.098095356200175399e+00 1.667217377848945192e-01
2.315864917105343035e-01 8.038298757047359841e-04 2.436552008837634009e+00 1.618004423137376843e-02 1.017323361990463360e+00 -9.332913134073422823e-02
1.118964755847218662e+00 5.760095551592452068e-03 2.738875514099589736e+00 1.200087802389021401e-02 1.044185336079585635e+00 -7.665155954106256386e-01
8.988639742663511178e-01 3.220836078155308430e-04 2.520496453762918865e+00 2.489590280578990455e-02 1.145371166369160587e+00 1.262238382188729968e+00
1.169098991668644061e+00 2.702292998627170775e-03 2.919904913001599045e+00 3.121542314823236297e-02 1.413974141545383256e+00 -3.831232927996409687e-01
9.183650184505660619e-01 5.814061669294475453e-03 2.796567212386798840e+00 1.440132813570708763e-02 1.077116921713911823e+00 1.517124819520826728e-01
3.674771640450949506e-02 1.950144589610767120e-03 2.930345568052306948e+00 5.135300783407613368e-02 1.069668615165964454e+00 -6.617067945745519486e-02
1.034586139550822459e+00 3.291304223569888835e-03 2.678488370680338626e+00 2.040340340973421929e-02 9.261891187196161779e-01 1.198083837528013396e-02
7.385923759571344505e-01 3.717244230708050944e-03 2.784979984948536380e+00 2.007138715012328836e-02 1.073823712240527861e+00 2.238728748043969374e-01
1.202179756113298748e+00 6.827017241613072759e-04 2.678987533369261875e+00 3.693529854127550888e-02 1.110593425764093256e+00 6.547292780746649665e-01
1.180636859813002371e+00 9.232550303645077790e-04 2.454073140104612083e+00 1.835148978340868375e-02 9.848329876236520120e-01 -6.511698107375423206e-01
1.208363424852497037e+00 1.137866138328795865e-02 3.192885703566259892e+00 1.684824884373750664e-02 1.320671865359480446e+00 3.513857621479267723e-01
5.073407713912148065e-01 2.528249486254867309e-03 2.861050117965813655e+00 3.335095934368141612e-02 1.089508258095507109e+00 4.689700246165763309e-01
2.312588717638008884e-01 4.786379077820031996e-03 3.084824187991760169e+00 2.153605233501737840e-02 1.199656458217987165e+00 1.065781286374495596e-01
5.141899462694816680e-01 1.708246747881990565e-03 2.757089137598076611e+00 2.987288835454225341e-02 1.037573404208209205e+00 1.149284616768837974e+00
9.397212407230220998e-01 5.513063317661437424e-04 2.509308736397763528e+00 2.541978707259536646e-02 1.110753108676128864e+00 2.874556692163270921e-01
5.695794439670752718e-01 1.591753185064284648e-03 2.526527430123572060e+00 2.162192442994406369e-02 9.094898949700281898e-01 1.156599382271082666e-01
7.022030474338731842e-01 1.190201757995469883e-03 2.693456923231370315e+00 3.260455681952856288e-02 1.190117347290592154e+00 9.862881261607977512e-01
9.376450036524797138e-01 9.966935244417352360e-03 2.932643698881229000e+00 8.488411079772764309e-03 9.924433471670219831e-01 9.513272733953334614e-02
9.898293335372205792e-01 7.701854836328191761e-03 2.921463113942887269e+00 1.255085725890003022e-02 1.129221718162370491e+00 -1.086305385376426513e-01
8.969988070863106344e-01 4.346222187590511980e-04 2.506666539346658062e+00 2.658081781168507990e-02 1.120858347851136028e+00 3.253636991195199557e-01
9.985699882533833893e-01 6.910686991765042572e-03 2.795188259260685371e+00 1.245825029833005394e-02 1.128875085721152471e+00 9.667981906324063512e-02
1.047199547090149840e+00 7.854481643255750711e-03 3.083086991259802012e+00 2.139140986542327830e-02 1.081452010076564330e+00 7.092794905385380044e-01
1.120186364485976860e+00 1.186796209274160662e-03 2.429223642228850011e+00 1.482397201564734229e-02 1.153764913639272249e+00 -1.045693502210772174e-01
8.983244392317559779e-01 3.405026681556979490e-03 2.641120072718334821e+00 1.510180638910465015e-02 1.020800038959672973e+00 4.854137920736745215e-01
