logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.631986259905105908e+04 -2.632585531333774998e+04 1.100000000000000006e-01
-2.632585531333774998e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.378319568689898733e+04 -1.378919090118567874e+04 1.000000000000000056e-01
-1.378919090118567874e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.374144914605391568e+04 -1.374744686034060760e+04 1.419999999999999929e+00
-1.374744686034060760e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.292960430213484324e+04 -1.293560451642153384e+04 1.794999999999999929e+00
-1.293560451642153384e+04 3.104266471449715823e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -8.918235103833056201e+03 -8.924237818119747317e+03 1.020000000000000018e+00
-8.924237818119747317e+03 1.108591375107654585e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -8.052142826709240580e+03 -8.058148040995932206e+03 1.790000000000000036e+00
-8.058148040995932206e+03 3.755374180512265525e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -3.943691604828340587e+03 -3.949699319115031813e+03 4.499999999999999833e-02
-3.949699319115031813e+03 2.050154519696573516e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -3.936406147325004440e+03 -3.942416361611695720e+03 3.800000000000000044e-01
-3.942415674697369013e+03 1.531934053925668422e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -3.704864415434575676e+03 -3.710877129721267011e+03 1.549999999999999989e-01
-3.710877129721267011e+03 1.177068165953691050e+03 -2.249999999999999917e-02 4.000000000000000000e+02 -2.820136743256083719e+03 -2.826151957542775108e+03 4.499999999999999833e-02
-2.826151957542775108e+03 3.756719398584559713e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -2.329317157392697482e+03 -2.335334871679388925e+03 1.834999999999999964e+00
-2.335334871679388925e+03 4.575020727062940864e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -2.304985463758693641e+03 -2.311005678045385139e+03 4.899999999999999911e-01
-2.311005678045357854e+03 1.394189252756465862e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -2.132118468310727621e+03 -2.138141182597418720e+03 8.500000000000000611e-02
-2.138141182597418720e+03 7.911496715476235408e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -2.089016675920009220e+03 -2.095041890206700373e+03 1.949999999999999956e+00
-2.095041890206700373e+03 1.596797358879454265e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -2.057041785067096498e+03 -2.063069499353787705e+03 2.999999999999999889e-02
-2.063069499353787705e+03 2.784000519718251354e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.920651897304328486e+03 -1.926682111591019748e+03 3.850000000000000089e-01
-1.926682111591019748e+03 7.874070179413537574e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.795962467503615017e+03 -1.801995181790306333e+03 3.300000000000000155e-01
-1.801995181790306333e+03 1.129890972070035247e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.690823848490324508e+03 -1.696859062777015879e+03 1.645000000000000018e+00
-1.696859062777015879e+03 7.173153406980813429e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.644276719958922513e+03 -1.650314434245613938e+03 2.700000000000000178e-01
-1.650314434245613938e+03 8.051106090654154457e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.440735470363043987e+03 -1.446775684649735240e+03 1.499999999999999944e-02
-1.446775684649735240e+03 1.260685422441987811e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.341128309525585337e+03 -1.347171023812276644e+03 3.500000000000000333e-02
-1.347171023812276644e+03 1.072328389247208094e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -1.312131401488351912e+03 -1.318176615775043274e+03 1.165000000000000036e+00
-1.318176615775043047e+03 9.547348989704585165e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.263274247081111753e+03 -1.269321961367803169e+03 1.070000000000000062e+00
-1.269321961367803169e+03 2.266899632681087340e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.166202759665453868e+03 -1.172252973952145112e+03 1.060000000000000053e+00
-1.172252973952145112e+03 5.385540632485331969e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.131803663968134060e+03 -1.137856378254825358e+03 4.099999999999999756e-01
-1.137856378254825358e+03 1.286935948555524156e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -1.105415622398136520e+03 -1.111470836684827873e+03 2.650000000000000133e-01
-1.111470836684824462e+03 1.849511067215823346e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -1.085255596083187356e+03 -1.091313310369878764e+03 1.554999999999999938e+00
-1.091313310368117982e+03 1.985319415612763194e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.041972181166055634e+03 -1.048032395452746869e+03 1.304999999999999938e+00
-1.048032395452746869e+03 3.064116854183671990e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -9.952798698489498292e+02 -1.001342584135641118e+03 1.114999999999999991e+00
