weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -2.631986259905105908e+04 5.945618148838732742e-02 3.102385642618756684e-02 9.848948684238234552e-01 2.943339669979244070e-03 1.656506631414884634e+00 -1.655418859862932912e+00
0.000000000000000000e+00 -1.378319568689898733e+04 3.311877051089337498e-01 1.116729897979472863e+00 2.458898991104031762e+00 5.347502814553047046e-03 5.177122101215413386e-01 1.780882906803999965e+00
0.000000000000000000e+00 -1.374144914605391568e+04 1.228793124200142084e-01 2.446681522799703856e+00 3.269018668376185488e+00 1.415710509141928156e-02 1.642676527560201549e+00 -1.519450987498608185e+00
0.000000000000000000e+00 -1.292960430213484324e+04 1.769224065118968348e-01 1.167964924736541565e+00 2.510025479599809373e+00 1.067134261064871074e-02 5.349912463448971423e-01 1.728567841201573252e+00
0.000000000000000000e+00 -8.918235103833056201e+03 2.558735290333760681e-01 4.230982343978219262e+00 3.716243019864832853e+00 2.048312882415499747e-02 1.496302100322425277e-01 2.302179535248452869e+00
0.000000000000000000e+00 -8.052142826709240580e+03 2.440614669304375095e-01 2.971434037662513905e+00 3.355203544084268685e+00 2.422803856329122912e-03 8.496670297767972002e-01 8.071817543697946684e-01
0.000000000000000000e+00 -3.943691604828340587e+03 2.874532160924792024e-01 8.748306685637859959e-01 1.737517535610364039e+00 2.265754346712012257e-02 9.982516637658661596e-01 1.899510882996025440e+00
0.000000000000000000e+00 -3.936406147325004440e+03 4.361032369181295776e-01 1.903457984878493159e+00 2.839705840337044762e+00 3.318976756702165382e-02 1.285424807300917793e+00 2.863390670755240563e+00
0.000000000000000000e+00 -3.704864415434575676e+03 1.025118051630058424e-01 2.244804328966470697e-01 3.646442720721697395e+00 2.309265063187677589e-02 1.611613146041696698e+00 -1.352025505453348764e+00
0.000000000000000000e+00 -2.820136743256083719e+03 5.558685745664551647e-02 2.775761228851351348e+00 2.655135798563452720e+00 1.315766095856714911e-02 7.570487220210614376e-01 9.666445704702087971e-01
0.000000000000000000e+00 -2.329317157392697482e+03 1.626495501205763028e-01 3.304052587812952163e-02 2.983591011101519586e-01 1.121908674176382925e-03 1.616346122855464529e+00 7.352565279771019480e-01
0.000000000000000000e+00 -2.304985463758693641e+03 3.087438175039841637e-02 1.498585143430044342e+00 9.849147503563251416e-01 5.676246752928430783e-02 1.339105201228443898e+00 2.283643912333274795e+00
0.000000000000000000e+00 -2.132118468310727621e+03 4.194400601973680143e-03 9.542836721989944593e+00 1.363194263323357136e+00 4.761377493479575576e-03 2.509687062420656312e-01 1.043404268279398028e+00
0.000000000000000000e+00 -2.089016675920009220e+03 5.135027346512021085e-01 3.311629080312403772e+00 2.688649140340594990e+00 1.042491427115376824e-02 1.083098485010193901e+00 -1.257209921579824474e+00
0.000000000000000000e+00 -2.057041785067096498e+03 1.233875656209634797e-01 4.975944250173706784e+00 2.998541274431689718e+00 1.305813198028055733e-01 3.213580520388222284e-01 2.491541091042762446e+00
0.000000000000000000e+00 -1.920651897304328486e+03 2.094405685525214944e-01 3.243686806282598756e+00 2.095270732030108718e+00 5.164220299458088283e-03 1.329195002397158376e+00 -2.958487370329561106e-01
0.000000000000000000e+00 -1.795962467503615017e+03 2.155810833223939516e-01 2.667815026398724587e+00 3.606760822339945882e+00 2.802659931219706607e-02 3.275129638771450580e+00 1.158313210966435136e+00
0.000000000000000000e+00 -1.690823848490324508e+03 3.447584039671331979e-01 2.026837424535644860e+00 2.574927130261803754e+00 2.574183641054282601e-02 1.031369497903814381e+00 1.411237501652870208e+00
0.000000000000000000e+00 -1.644276719958922513e+03 3.944593142235983119e-02 1.664686057777840622e+00 3.474430158093676724e+00 8.428872602483896553e-03 1.452596411838552148e+00 -1.777149773648837860e-01
0.000000000000000000e+00 -1.440735470363043987e+03 7.834047511414740650e-02 4.730852547904257788e-04 3.695727386174390006e+00 3.327644259079380606e-03 3.427903483298473941e-01 1.783398171899150120e-01
