weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -2.631986259905105908e+04 4.756494519070986193e-02 4.501738706744535801e-01 2.348505002248609808e-01 2.275840719296695625e-02 8.429791170543528001e-01 3.889092095591228926e-02
0.000000000000000000e+00 -1.378319568689898733e+04 2.649501640871469998e-01 7.913080146506127344e-01 5.799455286818574473e-01 5.732370502839934101e-02 2.772703557448542577e-01 9.057572232001109835e-01
0.000000000000000000e+00 -1.374144914605391568e+04 9.830344993601136672e-02 8.659747506306069154e-01 8.114628378823881549e-01 1.869440105081410231e-01 8.396105106122431216e-01 5.030716455754680183e-02
0.000000000000000000e+00 -1.292960430213484324e+04 1.415379252095174678e-01 7.955784392740978817e-01 6.102683024435383574e-01 1.380590417102504075e-01 2.899659434221238952e-01 8.976368096736986324e-01
0.000000000000000000e+00 -8.918235103833056201e+03 2.046988232267008545e-01 9.181150434453345666e-01 9.242127683625201984e-01 2.649955779239402398e-01 3.677208673520759863e-02 9.626361028572752998e-01
0.000000000000000000e+00 -8.052142826709240580e+03 1.952491735443500076e-01 8.844729397113457736e-01 8.283261426568746533e-01 1.628015798682813653e-02 5.065476409139074709e-01 6.710009348080364644e-01
0.000000000000000000e+00 -3.943691604828340587e+03 2.299625728739833619e-01 7.680672752203704379e-01 3.905847936525305153e-01 2.888735175466575766e-01 5.930468766200531761e-01 9.223936364182067082e-01
0.000000000000000000e+00 -3.936406147325004440e+03 3.488825895345036843e-01 8.420742115061095046e-01 6.744310408532726564e-01 3.871551461573907726e-01 7.269351755649244851e-01 9.888421832041190962e-01
0.000000000000000000e+00 -3.704864415434575676e+03 8.200944413040467396e-02 6.385744832747972666e-01 9.092858626880101491e-01 2.934863028607425095e-01 8.318042723101021219e-01 6.786573424736908056e-02
0.000000000000000000e+00 -2.820136743256083719e+03 4.446948596531641318e-02 8.779880604920644593e-01 6.590458066039756035e-01 1.733567516517157125e-01 4.468818093956470339e-01 7.209111728381477624e-01
0.000000000000000000e+00 -2.329317157392697482e+03 1.301196400964610422e-01 4.561693106762193528e-01 3.536543059126640021e-02 3.660696208874214541e-03 8.330154507661606811e-01 6.473726793915804967e-01
0.000000000000000000e+00 -2.304985463758693641e+03 2.469950540031873309e-02 8.193074470959990085e-01 2.403653752401673227e-01 5.369353568492336581e-01 7.473585710048545883e-01 9.612621604994239233e-01
0.000000000000000000e+00 -2.132118468310727621e+03 3.355520481578944114e-03 9.955452591350046898e-01 3.401066015138771714e-01 4.848399309487694264e-02 9.079212852869056327e-02 7.435483885010798488e-01
0.000000000000000000e+00 -2.089016675920009220e+03 4.108021877209616646e-01 8.947920195478168415e-01 6.238772728455835859e-01 1.344495050143638126e-01 6.371137288195597437e-01 7.972465325625355259e-02
0.000000000000000000e+00 -2.057041785067096498e+03 9.871005249677078375e-02 9.335544045758266130e-01 7.416665342433886865e-01 7.523240150137009419e-01 1.361577182748524573e-01 9.745184979505648881e-01
0.000000000000000000e+00 -1.920651897304328486e+03 1.675524548420171955e-01 8.928185906684752426e-01 4.975070824196143882e-01 5.454411495828870304e-02 7.436897985313398740e-01 2.926744371093581432e-01
0.000000000000000000e+00 -1.795962467503615017e+03 1.724648666579151612e-01 8.742119954499668610e-01 8.960899450303762004e-01 3.422594630757772594e-01 9.892050556854303789e-01 7.755580916156683546e-01
0.000000000000000000e+00 -1.690823848490324508e+03 2.758067231737065805e-01 8.480530908938465062e-01 6.101289525472497477e-01 3.204523268550013571e-01 6.107094829088324239e-01 8.374142915551404664e-01
0.000000000000000000e+00 -1.644276719958922513e+03 3.155674513788786495e-02 8.293142350026100340e-01 8.672989099994607987e-01 1.045784938137577225e-01 7.862366384496840555e-01 3.300606330678784728e-01
0.000000000000000000e+00 -1.440735470363043987e+03 6.267238009131792520e-02 5.193664110616447172e-02 9.224122818682312097e-01 2.786949538539196247e-02 1.508085055232641913e-01 4.519499949685148454e-01
0.000000000000000000e+00 -1.341128309525585337e+03 8.719076079851983962e-02 5.893745360048034954e-01 5.742841709120871663e-03 9.825447617397146116e-01 9.374634751863667459e-01 4.245956078967525471e-01
0.000000000000000000e+00 -1.312131401488351912e+03 2.158273378227308914e-01 7.160503867835039671e-01 8.363458148558752248e-01 2.023303179202817770e-01 9.124606625748389321e-01 7.597539030766869983e-01
