17:36:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=6+0, resume=True, log_dir=inference/simu_single, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:36:29 [ultranest] [INFO] Sampling 400 live points from prior ...
17:36:30 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:36:30 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:36:30 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:36:30 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-26319.86, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-773.61, remainder_fraction=100.0000%, Lmin=-763.78, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=80, ncalls=488, regioncalls=3520, ndraw=40, logz=-422.72, remainder_fraction=100.0000%, Lmin=-410.03, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=90, ncalls=500, regioncalls=4000, ndraw=40, logz=-382.26, remainder_fraction=100.0000%, Lmin=-372.66, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=120, ncalls=538, regioncalls=5520, ndraw=40, logz=-208.16, remainder_fraction=100.0000%, Lmin=-201.63, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=160, ncalls=596, regioncalls=7840, ndraw=40, logz=-85.71, remainder_fraction=100.0000%, Lmin=-77.09, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=180, ncalls=627, regioncalls=9080, ndraw=40, logz=-21.50, remainder_fraction=100.0000%, Lmin=-14.73, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=200, ncalls=658, regioncalls=10320, ndraw=40, logz=36.37, remainder_fraction=100.0000%, Lmin=48.10, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=238, ncalls=719, regioncalls=12760, ndraw=40, logz=130.98, remainder_fraction=100.0000%, Lmin=138.51, Lmax=1015.66
17:36:30 [ultranest] [DEBUG] iteration=240, ncalls=723, regioncalls=12920, ndraw=40, logz=132.94, remainder_fraction=100.0000%, Lmin=142.20, Lmax=1015.66
17:36:31 [ultranest] [DEBUG] iteration=270, ncalls=774, regioncalls=14960, ndraw=40, logz=200.76, remainder_fraction=100.0000%, Lmin=211.84, Lmax=1015.66
17:36:31 [ultranest] [DEBUG] iteration=280, ncalls=795, regioncalls=15800, ndraw=40, logz=232.71, remainder_fraction=100.0000%, Lmin=239.58, Lmax=1015.66
17:36:31 [ultranest] [DEBUG] iteration=317, ncalls=861, regioncalls=18440, ndraw=40, logz=319.05, remainder_fraction=100.0000%, Lmin=325.71, Lmax=1015.66
17:36:31 [ultranest] [DEBUG] iteration=320, ncalls=867, regioncalls=18680, ndraw=40, logz=321.50, remainder_fraction=100.0000%, Lmin=331.08, Lmax=1015.66
17:36:31 [ultranest] [DEBUG] iteration=356, ncalls=939, regioncalls=21560, ndraw=40, logz=402.07, remainder_fraction=100.0000%, Lmin=410.77, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=360, ncalls=954, regioncalls=22160, ndraw=40, logz=409.43, remainder_fraction=100.0000%, Lmin=419.38, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=398, ncalls=1023, regioncalls=24920, ndraw=40, logz=467.94, remainder_fraction=100.0000%, Lmin=474.16, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=400, ncalls=1034, regioncalls=25400, ndraw=40, logz=468.79, remainder_fraction=100.0000%, Lmin=475.10, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=432, ncalls=1110, regioncalls=28440, ndraw=40, logz=516.21, remainder_fraction=100.0000%, Lmin=523.12, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=440, ncalls=1126, regioncalls=29080, ndraw=40, logz=530.37, remainder_fraction=100.0000%, Lmin=538.05, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=450, ncalls=1145, regioncalls=29840, ndraw=40, logz=547.39, remainder_fraction=100.0000%, Lmin=554.97, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=480, ncalls=1216, regioncalls=32680, ndraw=40, logz=588.99, remainder_fraction=100.0000%, Lmin=596.57, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=505, ncalls=1284, regioncalls=35400, ndraw=40, logz=622.58, remainder_fraction=100.0000%, Lmin=630.36, Lmax=1019.54
17:36:31 [ultranest] [DEBUG] iteration=520, ncalls=1324, regioncalls=37000, ndraw=40, logz=642.48, remainder_fraction=100.0000%, Lmin=653.62, Lmax=1019.54
17:36:32 [ultranest] [DEBUG] iteration=540, ncalls=1393, regioncalls=39760, ndraw=40, logz=680.36, remainder_fraction=100.0000%, Lmin=688.37, Lmax=1019.54
17:36:32 [ultranest] [DEBUG] iteration=560, ncalls=1438, regioncalls=41560, ndraw=40, logz=707.03, remainder_fraction=100.0000%, Lmin=714.11, Lmax=1019.54
17:36:32 [ultranest] [DEBUG] iteration=581, ncalls=1512, regioncalls=44520, ndraw=40, logz=727.22, remainder_fraction=100.0000%, Lmin=734.96, Lmax=1019.54
17:36:32 [ultranest] [DEBUG] iteration=600, ncalls=1557, regioncalls=46320, ndraw=40, logz=744.74, remainder_fraction=100.0000%, Lmin=752.83, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=627, ncalls=1630, regioncalls=49240, ndraw=40, logz=770.66, remainder_fraction=100.0000%, Lmin=778.37, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=640, ncalls=1673, regioncalls=50960, ndraw=40, logz=778.98, remainder_fraction=100.0000%, Lmin=786.60, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=667, ncalls=1746, regioncalls=53880, ndraw=40, logz=798.60, remainder_fraction=100.0000%, Lmin=807.09, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=680, ncalls=1801, regioncalls=56080, ndraw=40, logz=809.52, remainder_fraction=100.0000%, Lmin=817.13, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=699, ncalls=1876, regioncalls=59080, ndraw=40, logz=822.96, remainder_fraction=100.0000%, Lmin=830.64, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=719, ncalls=1953, regioncalls=62160, ndraw=40, logz=830.48, remainder_fraction=100.0000%, Lmin=837.80, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=720, ncalls=1956, regioncalls=62280, ndraw=40, logz=830.97, remainder_fraction=100.0000%, Lmin=837.87, Lmax=1021.62
17:36:32 [ultranest] [DEBUG] iteration=738, ncalls=2042, regioncalls=65720, ndraw=40, logz=840.83, remainder_fraction=100.0000%, Lmin=848.19, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=758, ncalls=2112, regioncalls=68520, ndraw=40, logz=855.01, remainder_fraction=100.0000%, Lmin=862.40, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=760, ncalls=2118, regioncalls=68760, ndraw=40, logz=855.81, remainder_fraction=100.0000%, Lmin=863.09, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=781, ncalls=2188, regioncalls=71560, ndraw=40, logz=867.66, remainder_fraction=100.0000%, Lmin=874.68, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=793, ncalls=2269, regioncalls=74800, ndraw=40, logz=870.46, remainder_fraction=100.0000%, Lmin=876.97, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=800, ncalls=2289, regioncalls=75600, ndraw=40, logz=872.31, remainder_fraction=100.0000%, Lmin=879.42, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=816, ncalls=2336, regioncalls=77600, ndraw=40, logz=880.45, remainder_fraction=100.0000%, Lmin=887.01, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=838, ncalls=2401, regioncalls=80640, ndraw=40, logz=887.50, remainder_fraction=100.0000%, Lmin=894.72, Lmax=1021.62
17:36:33 [ultranest] [DEBUG] iteration=840, ncalls=2404, regioncalls=80800, ndraw=40, logz=888.25, remainder_fraction=100.0000%, Lmin=895.27, Lmax=1021.62
