α₁ f₁ α₂ variance ν μ c
3.212981064762874261e-01 2.028706708823870605e-03 2.610550746742362982e+00 1.928340705039207834e-02 1.210113394599751535e+00 2.630240592151426027e-01 1.383532421524693006e-03
9.457793906058218347e-01 3.243410763056824280e-03 2.675599902585314105e+00 2.335159627756703757e-02 9.518765870500321968e-01 1.603333397863906662e-01 3.364733733023630904e-04
1.135371831922373786e+00 2.984108178298614661e-03 2.548953962019060882e+00 1.358252918483431916e-02 1.143523077463455273e+00 3.809530359641102315e-01 1.902980780041501420e-06
1.187107292040677775e+00 5.460007377884543329e-03 2.795787506247968679e+00 1.131758070003421879e-02 1.126026017238559218e+00 2.898102296801800537e-01 5.846209812734162519e-04
1.042881610278930893e+00 1.951189615964895934e-03 2.651201310876579953e+00 2.555239433325195639e-02 9.436865125098016227e-01 -4.751440614851839550e-01 3.166717971092181929e-06
8.210056370040408336e-02 2.283711816670699717e-03 2.932698711582160112e+00 4.624928720774994229e-02 1.010001276308802209e+00 2.651899881852317620e-01 1.166701462373838621e-06
9.515421342950552974e-01 8.681579715345475595e-03 3.453161009010441873e+00 2.138691703311158127e-02 1.117866111817673369e+00 -1.205829262631805676e-01 2.172526410718398726e-04
7.306200158280364843e-01 8.807651309609946730e-03 3.059735433638802959e+00 1.377805134203830342e-02 1.082326542972628980e+00 2.129032790684625143e-01 9.960527146553629474e-05
1.235166068492279390e+00 2.855235424276619284e-03 2.668773560947319545e+00 2.200636118163336319e-02 1.205549928735299536e+00 -2.967056060055829336e-01 1.227794916668672109e-03
6.794033258650555851e-01 1.163221352876215751e-03 2.716329045254027630e+00 3.291097344790699236e-02 8.926964612743453209e-01 6.827332549561766495e-01 3.314928307233821092e-05
6.619027660190762719e-02 2.893032293174760102e-04 2.497703217815621546e+00 3.011047049568423006e-02 1.070516663109717603e+00 -1.385821066576180538e-01 4.074675881632994028e-05
1.000026480590987976e+00 9.092863349042325932e-03 3.043949780904129820e+00 1.523446860505298615e-02 1.236786616724297128e+00 -1.440954082869995156e-01 5.847401773579395619e-06
9.709117445447895678e-01 4.954907344693232005e-03 2.884949750908555988e+00 2.083224558842731999e-02 1.054569089087688427e+00 1.166123416684264891e-01 1.397025570275693355e-05
