logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.117633150460194702e+04 -1.118232421888863792e+04 5.150000000000000133e-01
-1.118232421888863792e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.365375513239772772e+03 -9.371370727526464179e+03 1.594999999999999973e+00
-9.371370727526464179e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.865162768547490487e+03 -7.871160482834181494e+03 1.870000000000000107e+00
-7.871160482834181494e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.457842921306670178e+03 -7.463843135593361694e+03 9.499999999999999556e-01
-7.463843135593361694e+03 nan -1.000000000000000021e-02 4.000000000000000000e+02 -5.753326327939127623e+03 -5.759329042225818739e+03 6.600000000000000311e-01
-5.759329042225818739e+03 nan -1.250000000000000069e-02 4.000000000000000000e+02 -5.739710382610345732e+03 -5.745715596897037358e+03 1.215000000000000080e+00
-5.745715595673110329e+03 4.730972006889822410e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -4.713678469787820177e+03 -4.719686184074511402e+03 9.100000000000000311e-01
-4.719686184074511402e+03 7.984979467415518002e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -4.201439914827677057e+03 -4.207450129114368792e+03 1.409999999999999920e+00
-4.207450129114368792e+03 5.670521867328507142e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -3.395069038033761444e+03 -3.401081752320452779e+03 1.965000000000000080e+00
-3.401081752320452779e+03 8.716496853562955494e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -3.388869660468815255e+03 -3.394884874755506644e+03 7.099999999999999645e-01
-3.394882841047588045e+03 8.744419592352231803e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -3.096014200676106157e+03 -3.102031914962797600e+03 5.000000000000000104e-03
-3.102031914962797600e+03 9.402433070497496601e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -2.108769826504349112e+03 -2.114790040791040610e+03 5.450000000000000400e-01
-2.114790040791040610e+03 1.035086073021247785e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -2.070148477450871724e+03 -2.076171191737562822e+03 5.000000000000000104e-03
-2.076171191737562822e+03 2.828046270843746015e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.860272849418587612e+03 -1.866298063705278992e+03 8.750000000000000000e-01
-1.866298063705278992e+03 3.387215062686574925e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -1.767527426771704540e+03 -1.773555141058395748e+03 6.500000000000000222e-01
-1.773555141058395748e+03 3.674083384258504452e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -1.767091259966490270e+03 -1.773121474253181532e+03 2.849999999999999756e-01
-1.772621834050179814e+03 3.660839286224205011e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -1.675008421357638781e+03 -1.681041135644330097e+03 1.649999999999999911e+00
-1.681041135644330097e+03 3.838235562905642269e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.607579549435287390e+03 -1.613614763721978761e+03 7.349999999999999867e-01
-1.613614763721978761e+03 4.374301797869124186e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.550378332491620768e+03 -1.556416046778312193e+03 1.549999999999999989e-01
-1.556416046778312193e+03 6.038937156481190982e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.493070860005857412e+03 -1.499111074292548665e+03 1.205000000000000071e+00
-1.499111074292548665e+03 3.685501574740712272e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -1.461915707612798997e+03 -1.467958421899490304e+03 8.750000000000000000e-01
-1.467958421899490304e+03 4.261075775180673730e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -1.438297498071856353e+03 -1.444342712358547715e+03 1.959999999999999964e+00
-1.444342712358492236e+03 2.076354822554070623e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.401239553396729661e+03 -1.407287267683421078e+03 1.679999999999999938e+00
-1.407287267683421078e+03 1.794102653335906794e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.248827659509412570e+03 -1.254877873796103813e+03 1.900000000000000022e-01
-1.254877873796103813e+03 8.256186890940188050e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.192196745966821027e+03 -1.198249460253512325e+03 5.500000000000000028e-02
-1.198249460253512325e+03 8.901666470038188095e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -1.171246379070079911e+03 -1.177301593356771264e+03 1.104999999999999982e+00
-1.177301593355972500e+03 7.421343493980774042e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -1.165341010419882423e+03 -1.171398724706573830e+03 6.149999999999999911e-01
-1.171395996833033450e+03 7.450808509295632120e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.138334578300820795e+03 -1.144394792587512029e+03 1.669999999999999929e+00
-1.144394792587510210e+03 1.263318665707468114e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -1.095910521421391422e+03 -1.101973235708082711e+03 1.824999999999999956e+00
-1.101973235708082711e+03 1.556936363411555035e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -1.040229104824913065e+03 -1.046294319111604409e+03 1.290000000000000036e+00
-1.046294319111604409e+03 2.461794439675938762e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -9.872813533262934698e+02 -9.933490676129847543e+02 3.150000000000000022e-01
-9.933490676129847543e+02 3.470233281271722348e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -9.838509917600640620e+02 -9.899212060467554011e+02 1.530000000000000027e+00
-9.898892653531747783e+02 1.489091134795155114e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -9.663507426596422647e+02 -9.724234569463335447e+02 5.699999999999999512e-01
-9.724234569203501906e+02 8.894549571706688695e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -9.564743364348460091e+02 -9.625495507215373436e+02 1.989999999999999991e+00
-9.625494992217020354e+02 1.283706099991729488e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -9.219260400293297835e+02 -9.280037543160210589e+02 1.754999999999999893e+00
-9.280037543160210589e+02 2.181643724172165832e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -9.144740734498491292e+02 -9.205542877365404593e+02 2.750000000000000222e-01
-9.205537061538447006e+02 2.062469959825988397e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -8.790913129400674961e+02 -8.851740272267587670e+02 9.500000000000000111e-02
-8.851740272267587670e+02 2.953390315965848245e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -8.708628713304285611e+02 -8.769480856171198866e+02 1.600000000000000033e-01
-8.769478180326871097e+02 1.687220409901531326e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -8.703949441306882591e+02 -8.764826584173795254e+02 1.100000000000000089e+00
-8.759952847414210737e+02 1.743080395383298153e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -8.672132773454623020e+02 -8.733034916321536230e+02 9.000000000000000222e-01
-8.732379292629912015e+02 1.457142017582310345e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -8.407392061606794869e+02 -8.468319204473707487e+02 1.250000000000000000e+00
-8.468319204473673381e+02 2.305052895816110592e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -8.259459687629698692e+02 -8.320411830496611856e+02 4.000000000000000222e-01
-8.320411826725544415e+02 2.603101935801133138e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -8.150076259968614067e+02 -8.211053402835526640e+02 5.749999999999999556e-01
-8.211053224753484301e+02 5.007444179030475340e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -8.020686753223449159e+02 -8.081688896090362277e+02 1.870000000000000107e+00
-8.081688872003619508e+02 6.386727087339300724e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -7.989541861198068773e+02 -8.050569004064982437e+02 4.650000000000000244e-01
-8.050133502037356266e+02 6.821588918624505560e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -7.983502036319327999e+02 -8.044554179186241072e+02 1.034999999999999920e+00
-8.040028202840640006e+02 5.929983097874603537e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -7.831611662106998892e+02 -7.892688804973912511e+02 9.899999999999999911e-01
-7.892688800982458588e+02 7.131425617152439500e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -7.691110295461812711e+02 -7.752212438328725739e+02 8.900000000000000133e-01
-7.752212430400264793e+02 1.069688388448205885e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -7.671215509027532562e+02 -7.732342651894446135e+02 1.909999999999999920e+00
-7.731057759684481425e+02 7.195388028550183890e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -7.551641679272356669e+02 -7.612793822139269651e+02 8.999999999999999667e-02
-7.612793749048780683e+02 8.726798397733425361e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -7.138598946347160563e+02 -7.199776089214074091e+02 1.580000000000000071e+00
-7.199776089214074091e+02 2.276590112579351199e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -7.076808454485094444e+02 -7.138010597352007380e+02 1.989999999999999991e+00
-7.137989843055382835e+02 1.602477263024832865e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -6.901005085073936698e+02 -6.962232227940850180e+02 7.499999999999999722e-02
-6.962232227708070695e+02 4.915165367179582745e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -6.883685248956400073e+02 -6.944937391823312964e+02 1.169999999999999929e+00
-6.943304509612875108e+02 5.512425231546001392e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -6.828050267970461391e+02 -6.889327410837374828e+02 1.129999999999999893e+00
-6.889282243631755591e+02 3.364099958300093007e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -6.819419142546275907e+02 -6.880721285413188752e+02 1.189999999999999947e+00
-6.877180848679353176e+02 2.105639849936347119e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -6.813397380316868066e+02 -6.874724523183781457e+02 1.049999999999999961e-01
-6.868945983781835594e+02 8.303053268390787611e-01 -1.425000000000000711e-01 4.000000000000000000e+02 -6.502030255925263873e+02 -6.563382398792176673e+02 1.004999999999999893e+00
-6.563382398792176673e+02 1.138422114696070153e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -6.482282586220188705e+02 -6.543659729087102050e+02 8.000000000000000167e-02
-6.542356983779113762e+02 8.901973009191918251e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -6.362415371273377787e+02 -6.423817514140290541e+02 1.004999999999999893e+00
-6.423817443036181203e+02 1.257780891004090584e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -6.343748975471313543e+02 -6.405176118338226843e+02 2.349999999999999867e-01
-6.403734849574472037e+02 1.306395308400775335e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -6.301924117707698088e+02 -6.363376260574610797e+02 3.549999999999999822e-01
-6.363201098691299649e+02 1.384785898595639075e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -6.274742871683429257e+02 -6.336220014550342512e+02 7.499999999999999722e-02
-6.335568386681190987e+02 2.308318844657313740e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -6.156813610688660674e+02 -6.218315753555573338e+02 8.100000000000000533e-01
-6.218315672686757125e+02 5.560280529140960937e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -6.125649480281770138e+02 -6.187176623148683348e+02 4.400000000000000022e-01
-6.186741937804572444e+02 5.909902179025482205e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -6.112732211972145251e+02 -6.174284354839057869e+02 1.989999999999999991e+00
-6.171755602161376828e+02 9.965616728941375513e-01 -1.650000000000000910e-01 4.000000000000000000e+02 -6.040074980194777936e+02 -6.101652123061691100e+02 1.004999999999999893e+00
-6.101643102186255874e+02 2.742781915514949986e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -5.813864586592986825e+02 -5.875466729459899398e+02 1.754999999999999893e+00
-5.875466729458395321e+02 1.132104153275595237e+01 -1.700000000000000955e-01 4.000000000000000000e+02 -5.139515272875192977e+02 -5.201142415742106095e+02 1.000000000000000000e+00
-5.201142415742106095e+02 2.975070516773720186e+01 -1.725000000000000977e-01 4.000000000000000000e+02 -5.102842683171674025e+02 -5.164494826038587689e+02 7.650000000000000133e-01
-5.164241947115148150e+02 2.551315721562097139e+01 -1.750000000000000999e-01 4.000000000000000000e+02 -5.092372815405955748e+02 -5.154049958272869389e+02 1.524999999999999911e+00
-5.150968613870408035e+02 2.041862265466519055e+00 -1.775000000000001021e-01 4.000000000000000000e+02 -5.001609669146786814e+02 -5.063311812013699864e+02 1.064999999999999947e+00
-5.063310252175351138e+02 5.519662708823261710e+00 -1.800000000000001044e-01 4.000000000000000000e+02 -5.000830726841016372e+02 -5.062557869707929399e+02 7.800000000000000266e-01
-5.055995514812183842e+02 5.428846447827166521e+00 -1.825000000000001066e-01 4.000000000000000000e+02 -4.945356582858373713e+02 -5.007108725725286718e+02 1.995000000000000107e+00
-5.007033694261375558e+02 5.768179639957155658e+00 -1.850000000000001088e-01 4.000000000000000000e+02 -4.888846166956759589e+02 -4.950623309823672571e+02 1.860000000000000098e+00
-4.950587880849794260e+02 7.603081508208068939e+00 -1.875000000000001110e-01 4.000000000000000000e+02 -4.852658547372595308e+02 -4.914460690239508267e+02 5.649999999999999467e-01
-4.914194481339712866e+02 8.600997143528978484e+00 -1.900000000000001132e-01 4.000000000000000000e+02 -4.845636877229708261e+02 -4.907464020096621198e+02 1.729999999999999982e+00
-4.903341915549894452e+02 8.515953593883457629e+00 -1.925000000000001155e-01 4.000000000000000000e+02 -4.841680151721274115e+02 -4.903532294588187028e+02 4.749999999999999778e-01
-4.896505180218055102e+02 8.610938482003099637e+00 -1.950000000000001177e-01 4.000000000000000000e+02 -4.729841000829899826e+02 -4.791718143696812717e+02 1.570000000000000062e+00
-4.791717862409128088e+02 5.236328702887393938e+00 -1.975000000000001199e-01 4.000000000000000000e+02 -4.593275412112176923e+02 -4.655177554979089791e+02 1.419999999999999929e+00
-4.655177543226609487e+02 8.079347148112345778e+00 -2.000000000000001221e-01 4.000000000000000000e+02 -4.543175317011804282e+02 -4.605102459878717127e+02 1.370000000000000107e+00
-4.605035807046174909e+02 2.447569785185259583e+00 -2.025000000000001243e-01 4.000000000000000000e+02 -4.474682317547369621e+02 -4.536634460414283012e+02 1.764999999999999902e+00
-4.536623766541209761e+02 3.603612452843824698e+00 -2.050000000000001266e-01 4.000000000000000000e+02 -4.427786988194217201e+02 -4.489764131061130570e+02 4.000000000000000222e-01
-4.489672315432468963e+02 2.929363121672095449e+00 -2.075000000000001288e-01 4.000000000000000000e+02 -4.417146858382108121e+02 -4.479149001249021467e+02 1.320000000000000062e+00
