weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -1.117633150460194702e+04 3.750182487654047936e-01 1.008688114673135993e-03 5.954357602198651733e+00 8.030576083667503862e-02 1.053886243463308947e-01 2.928239085080745485e-01 7.093338687452215735e-05
0.000000000000000000e+00 -9.365375513239772772e+03 3.255184796189165564e-01 7.078136129028674617e+00 1.958444081147660665e+00 1.254187619352771510e-02 9.511700427998757146e-01 2.401153707902389467e+00 2.041177810380351721e-03
0.000000000000000000e+00 -7.865162768547490487e+03 3.926797611077928463e-01 1.148812587456730983e+00 9.121748184954761030e-01 4.911621605455791101e-03 6.241634513064695522e-01 -1.496539853135483433e+00 1.458203571172322971e-05
0.000000000000000000e+00 -7.457842921306670178e+03 4.738408904561546287e-01 3.605715463110393815e-01 1.352386814272139581e+00 1.750950434101953201e-03 2.934205595449597581e+00 -1.095741323898259179e+00 3.251619195189847981e-04
0.000000000000000000e+00 -5.753326327939127623e+03 3.283352974994075968e-01 7.191270986627458228e-01 3.143383929061689841e+00 5.667746365047220299e-03 4.268071462043558362e-01 1.334216675268307117e+00 3.216051853651548745e-05
0.000000000000000000e+00 -5.739710382610345732e+03 1.832795036059078897e-01 3.909496663395531152e-04 5.729546202144045530e+00 1.521937616300517160e-02 2.571827812830793647e-01 -7.912047854897538146e-01 1.488102687351448752e-04
0.000000000000000000e+00 -4.713678469787820177e+03 2.273319959105235544e-01 1.692986782289918279e+00 1.385959382305352650e+00 2.014924073210029587e-02 7.984737572011488815e-01 1.861863440551469129e+00 1.596573019769409636e-03
0.000000000000000000e+00 -4.201439914827677057e+03 1.799384682422730530e-02 5.917579540452928555e-01 4.950327270926242029e+00 4.585620640612352722e-02 2.031518552697372026e+00 -1.467462185418599852e+00 2.022506734331752376e-01
0.000000000000000000e+00 -3.395069038033761444e+03 8.202934936322875403e-03 6.900206934434466310e-01 5.323951782540198074e+00 2.303961953915242139e-02 9.485851650051229100e-01 -7.064210452186395761e-01 6.873415077500902751e-06
0.000000000000000000e+00 -3.388869660468815255e+03 9.889028767339026471e-01 3.361420221384912302e-04 5.672515585833299845e+00 2.299082461263117147e-02 4.414944947975036893e-01 3.105752034213783430e-01 2.980378081797639966e-01
