weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -1.117633150460194702e+04 3.000145990123238571e-01 1.240142014353525779e-01 9.918857696220382270e-01 6.323402258568011636e-01 1.932556105328908647e-02 4.927542317462185739e-01 3.184471875085407300e-01
0.000000000000000000e+00 -9.365375513239772772e+03 2.604147836951332673e-01 9.671018755529879884e-01 2.877664850372234628e-01 1.648110128981878919e-01 5.669156420624207326e-01 9.693141516448201545e-01 5.694798861263425938e-01
0.000000000000000000e+00 -7.865162768547490487e+03 3.141438088862342770e-01 7.940044316955179315e-01 9.264586919514261609e-02 5.073524088094771844e-02 3.547649189487117605e-01 5.247073507062960385e-02 2.002401488594199863e-01
0.000000000000000000e+00 -7.457842921306670178e+03 3.790727123649236807e-01 6.836891639387574493e-01 1.589794840142603194e-01 8.963845141764070767e-03 9.805805158464677707e-01 1.034281126460709910e-01 4.322180491526551593e-01
0.000000000000000000e+00 -5.753326327939127623e+03 2.626682379995260996e-01 7.494091356471394016e-01 4.963355168582425092e-01 6.220577019981632372e-02 2.105958729484971315e-01 8.198724246119117876e-01 2.593417093996277512e-01
0.000000000000000000e+00 -5.739710382610345732e+03 1.466236028847263118e-01 3.378261861840470281e-02 9.535040753593688745e-01 2.010004695447533685e-01 9.459143298936634192e-02 1.612323113195603952e-01 3.738112631304569833e-01
0.000000000000000000e+00 -4.713678469787820177e+03 1.818655967284188435e-01 8.309190646330845142e-01 2.007091669872637096e-01 2.612030806089925550e-01 4.740824312948578312e-01 9.173747447957933954e-01 5.511230385833191248e-01
0.000000000000000000e+00 -4.201439914827677057e+03 1.439507745938184424e-02 7.308511265478533359e-01 8.245283100358398176e-01 4.768122623652999437e-01 9.129324115927465177e-01 5.532225439338467332e-02 9.129022363612177005e-01
0.000000000000000000e+00 -3.395069038033761444e+03 6.562347949058300323e-03 7.454758700416818096e-01 8.871710423235741327e-01 2.929269581240304676e-01 5.654463287078133060e-01 1.805047203035611281e-01 1.440393064892668828e-01
0.000000000000000000e+00 -3.388869660468815255e+03 7.911223013871221399e-01 1.940337573221329048e-02 9.346481606500465222e-01 2.924115946971467261e-01 2.212993543060099988e-01 4.990987658349690381e-01 9.418730109463308020e-01
0.000000000000000000e+00 -3.096014200676106157e+03 1.724183201065306870e-01 9.704949184178494059e-01 8.214570964023791833e-01 3.158066211091777875e-01 4.099200436571136530e-01 8.097211288604755364e-01 9.603485822889109569e-01
0.000000000000000000e+00 -2.108769826504349112e+03 3.554845711937477670e-01 7.267054293117735098e-01 8.319162225043504888e-01 1.031990946335723525e-01 2.462514131976012433e-02 7.853219060809568663e-02 8.338091745763248630e-01
0.000000000000000000e+00 -2.070148477450871724e+03 9.824662237176953195e-01 2.594281059825309654e-02 9.106429118952731327e-01 5.913819123799337607e-01 2.077926254955418939e-01 9.228633077810060037e-01 7.949730997509508734e-01
0.000000000000000000e+00 -1.860272849418587612e+03 7.086471904952384993e-02 7.200646360516187450e-01 5.596618636793961876e-01 4.038878537835989269e-01 5.680628358626083063e-01 7.891708545802320618e-01 4.616769357541498087e-01
0.000000000000000000e+00 -1.767527426771704540e+03 8.624510913304779258e-01 1.690194369787945128e-01 5.724762988762407412e-01 2.357724213615808306e-02 1.297145764100985366e-01 9.997253305219893083e-01 2.149107771345273310e-01
0.000000000000000000e+00 -1.767091259966490270e+03 8.753637236173922309e-01 1.312016201585678443e-01 9.047144152438865161e-01 9.139222879976788283e-01 1.026436565206221285e-01 6.655943743019320236e-01 2.505574694431889071e-01
0.000000000000000000e+00 -1.675008421357638781e+03 1.263139875259363665e-01 9.942479067761726963e-01 4.137725727961411026e-01 2.385633861131308819e-01 1.210544720522144235e-02 1.407296083029402345e-01 6.350086491323542193e-01
0.000000000000000000e+00 -1.607579549435287390e+03 6.811286484777480110e-01 1.726723204135497403e-01 9.816190456209963333e-01 7.186910229758749491e-01 2.236811694751832391e-01 7.592868438435765865e-01 8.305607708246351972e-01
0.000000000000000000e+00 -1.550378332491620768e+03 2.406978274196142076e-01 7.642832970640216494e-01 4.237380571721816036e-01 2.424291594962042495e-01 9.938951267595153016e-02 1.507289605659470899e-01 1.109772825519345085e-01
0.000000000000000000e+00 -1.493070860005857412e+03 3.953638664153159565e-01 1.950233348985962456e-01 9.807386748852406910e-01 5.970271081205010821e-01 2.186524673197918212e-01 6.519978688894606522e-01 5.021773717930808623e-01
0.000000000000000000e+00 -1.461915707612798997e+03 8.126672068107538838e-01 4.083505179232221893e-01 8.301506188525954455e-01 5.613195789249683099e-01 7.168595462831217624e-03 9.371466391035359056e-01 9.320811336677274905e-01
0.000000000000000000e+00 -1.438297498071856353e+03 7.742234962985897750e-01 9.723759265560139031e-02 6.357272542120251391e-01 8.623542865087774345e-01 1.834432678386510585e-02 3.690946557903787006e-01 7.444558746974904162e-01
0.000000000000000000e+00 -1.401239553396729661e+03 8.917507402198832089e-02 8.578474628628161014e-01 5.050305706054655230e-01 3.993864679178200650e-01 3.642649364095499331e-01 1.975979238646481395e-01 2.944629650663255216e-01
0.000000000000000000e+00 -1.248827659509412570e+03 3.704943283246753261e-02 8.963252295841291906e-01 3.037066484205687145e-01 2.633264958532824940e-01 6.840696108702040146e-01 6.886579585324753561e-01 8.607816596490733829e-01
0.000000000000000000e+00 -1.192196745966821027e+03 1.694904148048982373e-01 7.777081359774395963e-01 1.843064712959885387e-02 3.923454098157054259e-01 3.496448727251132427e-01 5.613647280341094170e-02 4.291744768168268553e-01
0.000000000000000000e+00 -1.171246379070079911e+03 3.906571472935373990e-01 9.592580365787221064e-01 3.272492209272199748e-01 1.290191182546144288e-01 1.209577937289889604e-01 7.744124979107920304e-01 7.461380615346387968e-01
0.000000000000000000e+00 -1.165341010419882423e+03 2.502763762478626974e-01 7.444870240595701238e-01 6.915359086934250721e-01 4.302419652641634729e-01 6.943899527634583846e-01 8.691798310572160791e-01 5.583005164635954642e-01
0.000000000000000000e+00 -1.138334578300820795e+03 2.014389204190339955e-01 7.980887184981211302e-01 4.856183281313002364e-01 1.646172879687110013e-01 1.883763889543327297e-01 2.582691628730452438e-01 4.058786628540904662e-01
0.000000000000000000e+00 -1.095910521421391422e+03 7.685453316317661931e-01 1.510339556578230713e-01 7.015965103709934647e-01 2.151637524148142244e-01 1.907840357276484600e-01 8.985139662785979198e-02 2.783665353228519379e-01
0.000000000000000000e+00 -1.040229104824913065e+03 4.414676267918559160e-01 2.018787722093605685e-01 9.011303444883566049e-01 9.648183867475235154e-03 6.077953205620623134e-01 5.618067515151139446e-01 6.514901060080812156e-01
0.000000000000000000e+00 -9.872813533262934698e+02 1.570538706908608528e-02 7.008692863363108483e-01 5.456569006911612396e-01 8.017661958125442689e-01 1.349778698455144088e-01 9.729615940403379959e-02 5.374311496853961811e-01
0.000000000000000000e+00 -9.838509917600640620e+02 2.639763947851385684e-01 8.096523823706431866e-01 6.527248515418977437e-01 4.614588555032189676e-01 9.118810612165225704e-01 9.996701068896329812e-02 8.819250638928706199e-01
0.000000000000000000e+00 -9.663507426596422647e+02 1.039578917163989091e-01 9.186997818569986318e-01 2.598164019110401624e-01 5.179695238030054272e-01 5.587634735479651837e-01 1.380104896860293584e-01 9.350377655759456452e-02
0.000000000000000000e+00 -9.564743364348460091e+02 4.184258283881381324e-02 8.265687967581422102e-01 1.177721059005990556e-01 2.556190988728895830e-01 1.976112655874673329e-01 7.621062048591124016e-01 2.113699277471626781e-01
0.000000000000000000e+00 -9.219260400293297835e+02 1.075014197753469958e-01 7.972118933470148106e-01 8.784921287476910035e-01 4.774640255499372765e-01 2.192706032333157085e-01 7.042151773024979411e-01 7.660962477686767969e-01
0.000000000000000000e+00 -9.144740734498491292e+02 7.977273122083372581e-02 9.738498549122586168e-01 9.439654912110339025e-01 2.984116758497192823e-01 1.608343299037615637e-01 2.096072094267991126e-01 2.203829687725774589e-01
