17:44:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=True, log_dir=inference/simu_single_steep, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:44:05 [ultranest] [INFO] Sampling 400 live points from prior ...
17:44:07 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:44:07 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:44:07 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:44:07 [ultranest] [DEBUG] iteration=0, ncalls=402, regioncalls=80, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-11176.33, Lmax=1011.39
17:44:07 [ultranest] [DEBUG] iteration=20, ncalls=423, regioncalls=920, ndraw=40, logz=-1499.11, remainder_fraction=100.0000%, Lmin=-1461.92, Lmax=1016.06
17:44:07 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-873.24, remainder_fraction=100.0000%, Lmin=-840.74, Lmax=1016.06
17:44:07 [ultranest] [DEBUG] iteration=65, ncalls=470, regioncalls=2800, ndraw=40, logz=-618.67, remainder_fraction=100.0000%, Lmin=-611.27, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=80, ncalls=487, regioncalls=3480, ndraw=40, logz=-465.52, remainder_fraction=100.0000%, Lmin=-454.32, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=90, ncalls=502, regioncalls=4080, ndraw=40, logz=-410.24, remainder_fraction=100.0000%, Lmin=-390.50, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=104, ncalls=525, regioncalls=5040, ndraw=40, logz=-349.11, remainder_fraction=100.0000%, Lmin=-338.03, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=118, ncalls=548, regioncalls=5960, ndraw=40, logz=-271.11, remainder_fraction=100.0000%, Lmin=-259.96, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=120, ncalls=551, regioncalls=6080, ndraw=40, logz=-264.99, remainder_fraction=100.0000%, Lmin=-258.58, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=137, ncalls=574, regioncalls=7000, ndraw=40, logz=-201.90, remainder_fraction=100.0000%, Lmin=-192.30, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=153, ncalls=596, regioncalls=7880, ndraw=40, logz=-145.27, remainder_fraction=100.0000%, Lmin=-135.79, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=160, ncalls=606, regioncalls=8280, ndraw=40, logz=-130.83, remainder_fraction=100.0000%, Lmin=-120.04, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=175, ncalls=633, regioncalls=9360, ndraw=40, logz=-81.49, remainder_fraction=100.0000%, Lmin=-74.91, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=180, ncalls=643, regioncalls=9760, ndraw=40, logz=-60.75, remainder_fraction=100.0000%, Lmin=-47.89, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=198, ncalls=674, regioncalls=11040, ndraw=40, logz=-15.02, remainder_fraction=100.0000%, Lmin=-8.30, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=200, ncalls=676, regioncalls=11120, ndraw=40, logz=-13.74, remainder_fraction=100.0000%, Lmin=-6.47, Lmax=1016.06
17:44:08 [ultranest] [DEBUG] iteration=218, ncalls=703, regioncalls=12200, ndraw=40, logz=94.71, remainder_fraction=100.0000%, Lmin=103.47, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=231, ncalls=737, regioncalls=13560, ndraw=40, logz=123.24, remainder_fraction=100.0000%, Lmin=130.27, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=240, ncalls=753, regioncalls=14200, ndraw=40, logz=168.62, remainder_fraction=100.0000%, Lmin=178.89, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=255, ncalls=786, regioncalls=15520, ndraw=40, logz=223.05, remainder_fraction=100.0000%, Lmin=230.80, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=270, ncalls=812, regioncalls=16560, ndraw=40, logz=264.38, remainder_fraction=100.0000%, Lmin=272.37, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=280, ncalls=829, regioncalls=17240, ndraw=40, logz=274.85, remainder_fraction=100.0000%, Lmin=289.25, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=291, ncalls=862, regioncalls=18600, ndraw=40, logz=298.39, remainder_fraction=100.0000%, Lmin=305.93, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=303, ncalls=899, regioncalls=20080, ndraw=40, logz=319.34, remainder_fraction=100.0000%, Lmin=335.90, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=313, ncalls=934, regioncalls=21520, ndraw=40, logz=339.17, remainder_fraction=100.0000%, Lmin=347.32, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=320, ncalls=948, regioncalls=22080, ndraw=40, logz=353.39, remainder_fraction=100.0000%, Lmin=360.79, Lmax=1016.06
17:44:09 [ultranest] [DEBUG] iteration=333, ncalls=982, regioncalls=23440, ndraw=40, logz=379.14, remainder_fraction=100.0000%, Lmin=389.53, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=345, ncalls=1016, regioncalls=24800, ndraw=40, logz=407.47, remainder_fraction=100.0000%, Lmin=414.70, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=358, ncalls=1051, regioncalls=26240, ndraw=40, logz=426.30, remainder_fraction=100.0000%, Lmin=435.72, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=360, ncalls=1056, regioncalls=26440, ndraw=40, logz=430.01, remainder_fraction=100.0000%, Lmin=442.35, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=376, ncalls=1091, regioncalls=27880, ndraw=40, logz=460.14, remainder_fraction=100.0000%, Lmin=467.65, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=394, ncalls=1133, regioncalls=29600, ndraw=40, logz=489.22, remainder_fraction=100.0000%, Lmin=496.08, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=400, ncalls=1150, regioncalls=30280, ndraw=40, logz=494.54, remainder_fraction=100.0000%, Lmin=506.04, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=412, ncalls=1188, regioncalls=31840, ndraw=40, logz=507.03, remainder_fraction=100.0000%, Lmin=513.72, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=426, ncalls=1222, regioncalls=33240, ndraw=40, logz=531.81, remainder_fraction=100.0000%, Lmin=538.45, Lmax=1016.06
