logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.516295499950883823e+04 -4.516894771379553276e+04 8.850000000000000089e-01
-4.516894771379553276e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.402647636095240887e+04 -4.403247157523909846e+04 3.549999999999999822e-01
-4.403247157523909846e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.705764668944790537e+04 -1.706364440373459729e+04 1.395000000000000018e+00
-1.706364440373459729e+04 1.167781112490540181e+04 -7.499999999999999722e-03 4.000000000000000000e+02 -1.104559740208451512e+04 -1.105159761637120573e+04 2.750000000000000222e-01
-1.105159761637120573e+04 1.188793555581062537e+04 -1.000000000000000021e-02 4.000000000000000000e+02 -8.056054417722411927e+03 -8.062057132009103043e+03 1.784999999999999920e+00
-8.062057132009103043e+03 9.800434450191460201e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -7.814217738124334574e+03 -7.820222952411026199e+03 1.449999999999999956e+00
-7.820222952411026199e+03 9.889692828936778824e+03 -1.500000000000000118e-02 4.000000000000000000e+02 -6.774632900089175564e+03 -6.780640614375866789e+03 3.049999999999999933e-01
-6.780640614375866789e+03 3.879409006960239026e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -6.767716590782046296e+03 -6.773726805068738031e+03 1.270000000000000018e+00
-6.773725811598133077e+03 2.889355710710890435e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -6.112464090767344715e+03 -6.118476805054036049e+03 1.915000000000000036e+00
-6.118476805054036049e+03 3.287976964890033287e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -5.843083672605824177e+03 -5.849098886892515111e+03 9.150000000000000355e-01
-5.849098886892515111e+03 3.789407459640008256e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -5.724300770136025676e+03 -5.730318484422717120e+03 1.895000000000000018e+00
-5.730318484422717120e+03 2.954370950754938008e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -5.599051552771248680e+03 -5.605071767057939724e+03 1.250000000000000000e-01
-5.605071767057939724e+03 7.829584387317770222e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -4.831413488922780743e+03 -4.837436203209472296e+03 1.649999999999999911e+00
-4.837436203209472296e+03 3.620999872690374559e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -4.560754492968448176e+03 -4.566779707255139328e+03 6.650000000000000355e-01
-4.566779707255139328e+03 7.480543374118447275e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -4.498239245095837759e+03 -4.504266959382529421e+03 1.875000000000000000e+00
-4.504266959382529421e+03 2.958452553056465106e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -4.243388298627650329e+03 -4.249418512914341591e+03 8.900000000000000133e-01
-4.249418512914341591e+03 9.473536268517032966e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -4.238767100973255765e+03 -4.244799815259946627e+03 9.899999999999999911e-01
-4.244789997971442062e+03 2.300589838059950321e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -3.832346600763610695e+03 -3.838381815050302066e+03 1.875000000000000000e+00
-3.838381815050302066e+03 1.926593940910198341e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -3.822018535460309522e+03 -3.828056249747000948e+03 1.650000000000000078e-01
-3.828056216963385396e+03 1.166094026774901806e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -3.155959639605663597e+03 -3.161999853892355077e+03 8.950000000000000178e-01
-3.161999853892355077e+03 2.481612466582236891e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -3.145351820500126905e+03 -3.151394534786818440e+03 1.205000000000000071e+00
-3.151394510003294727e+03 1.858794675458511279e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -3.100061999886321701e+03 -3.106107214173012835e+03 1.425000000000000044e+00
-3.106107214173012835e+03 1.956808974105302070e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -3.080128186215722053e+03 -3.086175900502413242e+03 4.550000000000000155e-01
-3.086175900500205444e+03 2.923793407233876707e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -3.069273826826889035e+03 -3.075324041113580279e+03 1.955000000000000071e+00
-3.075324021745207119e+03 2.302937805643525948e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.648838131415058342e+03 -2.654890845701749640e+03 1.364999999999999991e+00
-2.654890845701749640e+03 2.120449981146606717e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -2.633402158654822870e+03 -2.639457372941514222e+03 1.155000000000000027e+00
-2.639457372743211636e+03 1.197611884966588462e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -2.594143948998336327e+03 -2.600201663285027735e+03 1.979999999999999982e+00
-2.600201663285027735e+03 1.275814912098020386e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -2.593943404196338179e+03 -2.600003618483029641e+03 4.849999999999999867e-01
-2.599404598976845136e+03 1.301676847218714670e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -2.520694360261933980e+03 -2.526757074548625496e+03 4.650000000000000244e-01
-2.526757074548625496e+03 1.465530965453028500e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -2.421244963490195005e+03 -2.427310177776886121e+03 8.000000000000000167e-02
-2.427310177776886121e+03 1.751810947199059854e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -1.963485021531588927e+03 -1.969552735818280325e+03 2.800000000000000266e-01
-1.969552735818280325e+03 3.339395970150613948e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -1.960674671281209612e+03 -1.966744885567900837e+03 5.500000000000000444e-01
