weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -4.516295499950883823e+04 2.169227408565820026e-01 8.958462993657031470e-01 2.840171448969001311e+00 2.137792427808009842e-03 5.520343003193235454e-01 -9.658973314654456521e-01 1.849173372051509667e-05
0.000000000000000000e+00 -4.402647636095240887e+04 7.107550030893014514e-02 1.663461300642853358e+00 3.793511395106334394e+00 4.339579452487881024e-03 1.964181781953273365e-01 1.464139926454331331e+00 3.798701133283275549e-02
0.000000000000000000e+00 -1.705764668944790537e+04 5.645772723599729037e-02 3.081813998034489016e-04 3.735451508147240585e+00 8.258693382692571319e-03 1.544412366806655057e-01 2.914691598995278188e-02 8.577218214580479151e-05
0.000000000000000000e+00 -1.104559740208451512e+04 9.138624674970285966e-04 5.321258871546833118e-04 3.813450829748624038e+00 2.528963312343503189e-02 7.948062254850125907e-02 -4.401884497090737813e-01 1.779798207275880163e-06
0.000000000000000000e+00 -8.056054417722411927e+03 8.949677252482919343e-01 3.785283011842099422e-04 3.610800573968704796e+00 1.112096128442328219e-02 3.994504763524080460e-01 -9.985263095990947191e-01 1.789618563212205370e-03
0.000000000000000000e+00 -7.814217738124334574e+03 8.882036645841617784e-01 3.833947653289080043e-04 3.656597860255154764e+00 7.277882563353895926e-03 5.543125219519980940e-01 2.977926392111745479e-01 4.843086841811103925e-04
0.000000000000000000e+00 -6.774632900089175564e+03 2.583917116923656332e-02 4.909249821805678593e+00 1.046135572371711397e+00 8.664816817456521408e-03 7.609848220762628346e-01 -4.798290079772813410e-01 2.174106693925054764e-04
0.000000000000000000e+00 -6.767716590782046296e+03 8.067275113509908557e-02 1.164815797827885691e+00 3.814778257638733905e+00 1.898695365413995140e-02 1.348488908679831844e-01 1.266445204137875979e+00 2.604980676649861285e-02
0.000000000000000000e+00 -6.112464090767344715e+03 6.628055154267008531e-01 4.874714125293742872e-03 8.003647287431215895e-01 2.482149990940595973e-03 9.412744799146475216e-01 1.135980583834579338e+00 1.015571841667088473e-05
0.000000000000000000e+00 -5.843083672605824177e+03 4.488309684834452806e-01 1.936109443100223926e+00 2.858052576854563043e+00 3.901472392811978704e-03 2.489795184864876276e+00 6.061598465784205914e-01 3.446166546051304680e-01
0.000000000000000000e+00 -5.724300770136025676e+03 5.032817607479575517e-02 1.143384338511473225e-01 3.489808333946523566e-01 6.609473251963001936e-03 1.149409282125332249e-01 7.154477656846223166e-01 9.609288349188816977e-05
