weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -4.516295499950883823e+04 1.735381926852656020e-01 7.701615534799755025e-01 6.934166363566118818e-01 1.300846032685698539e-02 3.024601968232669691e-01 3.534343524128746861e-02 2.179892002884918911e-01
0.000000000000000000e+00 -4.402647636095240887e+04 5.686040024714411611e-02 8.291210578156588129e-01 9.474439875569251601e-01 4.223447087614218276e-02 5.964154769232055120e-02 9.563867078301218072e-01 7.879468227158025195e-01
0.000000000000000000e+00 -1.705764668944790537e+04 4.516618178879783230e-02 1.042290667572465246e-02 9.329160248439940517e-01 1.019872069534547565e-01 3.893071322802543754e-02 3.567840464321878624e-01 3.326409545081215891e-01
0.000000000000000000e+00 -1.104559740208451512e+04 7.310899739976228773e-04 6.245693344175662354e-02 9.533520499844797547e-01 3.159812795300898092e-01 1.137196430472331432e-02 1.476713043728534736e-01 4.307741628527150812e-02
0.000000000000000000e+00 -8.056054417722411927e+03 7.159741801986335696e-01 3.001001798758751171e-02 8.746552719609276272e-01 1.445952742151576098e-01 1.908128519569017856e-01 3.181830950972441840e-02 5.596520708220517060e-01
0.000000000000000000e+00 -7.814217738124334574e+03 7.105629316673294227e-01 3.122699055752697905e-02 8.896450465486663850e-01 8.696141661472178708e-02 3.041275846879176736e-01 5.087044087856751329e-01 4.619873619270701282e-01
0.000000000000000000e+00 -6.774632900089175564e+03 2.067133693538925066e-02 9.322209651728542434e-01 2.567325393075891027e-01 1.081614145414691031e-01 4.495006167145324527e-01 1.348277038260426997e-01 4.021396838987761901e-01
0.000000000000000000e+00 -6.767716590782046296e+03 6.453820090807926846e-02 7.951738450879090037e-01 9.527414449980134981e-01 2.477291366936933414e-01 3.044577669660408770e-02 9.227813527839020535e-01 7.597590275962503581e-01
0.000000000000000000e+00 -6.112464090767344715e+03 5.302444123413606603e-01 2.734672995838139942e-01 4.122001697902522022e-02 1.698819741975454711e-02 5.612712777243302753e-01 8.916168430649128451e-01 1.732090956732759146e-01
0.000000000000000000e+00 -5.843083672605824177e+03 3.590647747867562467e-01 8.435806795295504035e-01 6.784305638479396494e-01 3.588474128768803784e-02 9.588790808065450477e-01 6.801826361256336773e-01 9.527236108821093286e-01
0.000000000000000000e+00 -5.724300770136025676e+03 4.026254085983660413e-02 5.740443305864673107e-01 7.561454992558191979e-02 7.667093047580286758e-02 2.270208331169787375e-02 7.344781586019303310e-01 3.411309435233943477e-01
0.000000000000000000e+00 -5.599051552771248680e+03 9.690608091955754677e-02 8.871907511093056753e-01 3.189940737103070800e-01 3.952115304315731992e-01 9.945036177223949281e-01 9.077077079783505420e-01 9.464651991790702379e-01
0.000000000000000000e+00 -4.831413488922780743e+03 2.581849987305889771e-01 6.990258880547400855e-01 9.127362386380036829e-01 1.188633026251419977e-01 9.049436559306680561e-01 9.374579978409769421e-01 6.728328823012404980e-01
0.000000000000000000e+00 -4.560754492968448176e+03 1.114582712966946110e-01 3.217174790876937696e-01 5.704803027256322157e-02 7.258700341586001858e-01 8.616928705304083280e-02 9.984969063451475391e-01 4.691217653245668417e-01
0.000000000000000000e+00 -4.498239245095837759e+03 1.208961735206262045e-01 5.362363347363807708e-01 9.069568076930433209e-01 1.242333485052946607e-01 9.234879064436843921e-01 9.578371226799110572e-01 8.003040275558067629e-01
0.000000000000000000e+00 -4.243388298627650329e+03 7.232320849797480022e-02 2.262836565887438312e-03 9.714166616135556653e-01 6.221386226731661084e-01 2.285212118823674032e-01 7.911388559079252092e-01 5.950300696563679548e-01
0.000000000000000000e+00 -4.238767100973255765e+03 1.059923184604582014e-01 7.373104145082696181e-01 5.723260522793838234e-02 4.693376378348306233e-01 8.420459284307909575e-01 2.475719348860072611e-02 8.663113221037066491e-02
0.000000000000000000e+00 -3.832346600763610695e+03 6.809656775950068130e-02 7.377278763248360516e-01 6.400976756382465993e-01 1.761909763974622845e-01 8.723042314711656475e-01 7.885657785594953895e-01 8.606484829668779035e-01
0.000000000000000000e+00 -3.822018535460309522e+03 7.580864764018746538e-02 4.684172308738088208e-01 1.099423129163183965e-01 6.879722179422390615e-01 8.151107765016658568e-01 2.460392137065725571e-03 4.986205274830333156e-01
