12:00:33 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=True, log_dir=inference/subset_simu_single, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
12:00:35 [ultranest] [INFO] Sampling 400 live points from prior ...
12:00:36 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
12:00:36 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
12:00:36 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
12:00:36 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-45162.95, Lmax=451.23
12:00:36 [ultranest] [DEBUG] iteration=40, ncalls=442, regioncalls=1680, ndraw=40, logz=-1398.47, remainder_fraction=100.0000%, Lmin=-1380.90, Lmax=451.23
12:00:36 [ultranest] [DEBUG] iteration=77, ncalls=485, regioncalls=3400, ndraw=40, logz=-598.97, remainder_fraction=100.0000%, Lmin=-580.98, Lmax=451.23
12:00:36 [ultranest] [DEBUG] iteration=80, ncalls=488, regioncalls=3520, ndraw=40, logz=-558.67, remainder_fraction=100.0000%, Lmin=-544.28, Lmax=451.23
12:00:36 [ultranest] [DEBUG] iteration=103, ncalls=520, regioncalls=4800, ndraw=40, logz=-331.31, remainder_fraction=100.0000%, Lmin=-319.18, Lmax=452.32
12:00:36 [ultranest] [DEBUG] iteration=120, ncalls=539, regioncalls=5560, ndraw=40, logz=-245.25, remainder_fraction=100.0000%, Lmin=-232.16, Lmax=454.93
12:00:36 [ultranest] [DEBUG] iteration=152, ncalls=581, regioncalls=7240, ndraw=40, logz=-128.34, remainder_fraction=100.0000%, Lmin=-116.23, Lmax=454.93
12:00:36 [ultranest] [DEBUG] iteration=160, ncalls=590, regioncalls=7600, ndraw=40, logz=-93.96, remainder_fraction=100.0000%, Lmin=-85.94, Lmax=454.93
12:00:36 [ultranest] [DEBUG] iteration=180, ncalls=629, regioncalls=9160, ndraw=40, logz=-55.96, remainder_fraction=100.0000%, Lmin=-47.44, Lmax=454.93
12:00:36 [ultranest] [DEBUG] iteration=200, ncalls=656, regioncalls=10240, ndraw=40, logz=-25.97, remainder_fraction=100.0000%, Lmin=-20.01, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=236, ncalls=713, regioncalls=12520, ndraw=40, logz=23.57, remainder_fraction=100.0000%, Lmin=30.11, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=240, ncalls=725, regioncalls=13000, ndraw=40, logz=26.02, remainder_fraction=100.0000%, Lmin=34.76, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=270, ncalls=777, regioncalls=15080, ndraw=40, logz=61.63, remainder_fraction=100.0000%, Lmin=69.93, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=280, ncalls=799, regioncalls=15960, ndraw=40, logz=68.15, remainder_fraction=100.0000%, Lmin=74.92, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=309, ncalls=853, regioncalls=18120, ndraw=40, logz=97.40, remainder_fraction=100.0000%, Lmin=103.73, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=320, ncalls=869, regioncalls=18760, ndraw=40, logz=105.63, remainder_fraction=100.0000%, Lmin=112.69, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=354, ncalls=924, regioncalls=21000, ndraw=40, logz=136.95, remainder_fraction=100.0000%, Lmin=143.53, Lmax=454.93
12:00:37 [ultranest] [DEBUG] iteration=360, ncalls=937, regioncalls=21520, ndraw=40, logz=142.29, remainder_fraction=100.0000%, Lmin=149.33, Lmax=462.38
12:00:37 [ultranest] [DEBUG] iteration=388, ncalls=1001, regioncalls=24080, ndraw=40, logz=166.03, remainder_fraction=100.0000%, Lmin=173.24, Lmax=462.38
12:00:37 [ultranest] [DEBUG] iteration=400, ncalls=1035, regioncalls=25480, ndraw=40, logz=175.52, remainder_fraction=100.0000%, Lmin=184.03, Lmax=462.38
12:00:37 [ultranest] [DEBUG] iteration=433, ncalls=1093, regioncalls=27880, ndraw=40, logz=196.85, remainder_fraction=100.0000%, Lmin=203.57, Lmax=462.38
12:00:37 [ultranest] [DEBUG] iteration=440, ncalls=1113, regioncalls=28720, ndraw=40, logz=204.98, remainder_fraction=100.0000%, Lmin=212.15, Lmax=462.38
12:00:37 [ultranest] [DEBUG] iteration=450, ncalls=1133, regioncalls=29520, ndraw=40, logz=210.78, remainder_fraction=100.0000%, Lmin=218.14, Lmax=462.38
12:00:37 [ultranest] [DEBUG] iteration=471, ncalls=1210, regioncalls=32600, ndraw=40, logz=223.64, remainder_fraction=100.0000%, Lmin=230.35, Lmax=462.38
12:00:37 [ultranest] [DEBUG] iteration=480, ncalls=1229, regioncalls=33360, ndraw=40, logz=228.50, remainder_fraction=100.0000%, Lmin=235.41, Lmax=462.38
12:00:38 [ultranest] [DEBUG] iteration=500, ncalls=1289, regioncalls=35760, ndraw=40, logz=238.73, remainder_fraction=100.0000%, Lmin=245.21, Lmax=462.38
12:00:38 [ultranest] [DEBUG] iteration=520, ncalls=1350, regioncalls=38200, ndraw=40, logz=256.65, remainder_fraction=100.0000%, Lmin=264.06, Lmax=462.38
12:00:38 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
12:00:38 [ultranest] [DEBUG] iteration=541, ncalls=1399, regioncalls=40160, ndraw=40, logz=269.84, remainder_fraction=100.0000%, Lmin=278.45, Lmax=462.38
12:00:38 [ultranest] [DEBUG] iteration=560, ncalls=1458, regioncalls=42520, ndraw=40, logz=279.45, remainder_fraction=100.0000%, Lmin=285.41, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=582, ncalls=1527, regioncalls=45320, ndraw=40, logz=286.90, remainder_fraction=100.0000%, Lmin=292.85, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=600, ncalls=1597, regioncalls=48120, ndraw=40, logz=292.47, remainder_fraction=100.0000%, Lmin=298.97, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=624, ncalls=1669, regioncalls=51000, ndraw=40, logz=300.80, remainder_fraction=100.0000%, Lmin=306.82, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=638, ncalls=1709, regioncalls=52600, ndraw=40, logz=303.85, remainder_fraction=100.0000%, Lmin=310.02, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=640, ncalls=1714, regioncalls=52800, ndraw=40, logz=304.26, remainder_fraction=100.0000%, Lmin=310.49, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=657, ncalls=1786, regioncalls=55680, ndraw=40, logz=308.87, remainder_fraction=100.0000%, Lmin=315.17, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=676, ncalls=1866, regioncalls=58880, ndraw=40, logz=312.73, remainder_fraction=100.0000%, Lmin=319.75, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=680, ncalls=1885, regioncalls=59680, ndraw=40, logz=314.00, remainder_fraction=100.0000%, Lmin=320.94, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=700, ncalls=1959, regioncalls=62640, ndraw=40, logz=320.59, remainder_fraction=100.0000%, Lmin=326.59, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=717, ncalls=2057, regioncalls=66560, ndraw=40, logz=325.07, remainder_fraction=100.0000%, Lmin=331.39, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=720, ncalls=2072, regioncalls=67160, ndraw=40, logz=325.63, remainder_fraction=100.0000%, Lmin=331.75, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=735, ncalls=2171, regioncalls=71120, ndraw=40, logz=329.05, remainder_fraction=100.0000%, Lmin=335.82, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=752, ncalls=2257, regioncalls=74560, ndraw=40, logz=334.76, remainder_fraction=100.0000%, Lmin=342.07, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=760, ncalls=2283, regioncalls=75600, ndraw=40, logz=337.12, remainder_fraction=100.0000%, Lmin=343.52, Lmax=463.66
