α₁ f₁ α₂ variance ν μ c
6.967780822137683572e-01 2.956217021482438791e-03 2.548774053781277082e+00 1.024348980562419659e-01 1.117040465940923433e+00 4.840699273615227671e-01 2.378380567620405858e-05
1.148822037102461557e+00 1.250382656455729068e-02 3.159304265614521601e+00 1.017235252641954801e-01 1.075061570173949432e+00 1.737437420362376861e-01 1.216847008307389647e-04
1.128060635061317374e+00 3.765920508981244596e-03 2.829254638651725884e+00 3.458885582448106844e-01 9.877194585491100298e-01 6.524637590053752323e-01 3.382022602005353381e-04
3.572902388716097111e-01 2.130919709466334421e-03 2.766324049062354185e+00 1.713002176876707028e-01 9.597065597139448068e-01 3.576154730427011375e-01 4.447394039237974809e-06
5.077337992933655952e-01 2.624272255263308297e-03 2.818819072087326738e+00 1.405346587553541748e-01 9.696740244680737142e-01 2.915130681850826577e-01 1.241110450773965593e-03
7.930897132253446058e-01 7.830029704025886703e-03 3.573898509095536191e+00 1.051262214985029947e-01 1.195988033410380957e+00 1.525127748612656875e-01 1.882034141838545901e-06
5.215783722205202810e-01 5.928027967426618625e-03 2.974585574620682848e+00 4.852429797989821908e-02 1.037358688865231970e+00 2.778957707357067042e-01 4.229526773862596860e-05
9.795045883266748632e-01 7.914322694483427040e-03 3.333330983318677276e+00 1.331412189133174273e-01 1.354525149527876060e+00 5.300844535154194959e-02 2.480940492050508900e-03
6.800199752631039818e-01 2.574453551239154134e-03 2.444084269928584519e+00 6.648114682965533540e-02 1.019847593975878874e+00 1.833936578073008805e-01 1.019454043360080758e-04
5.826144010273058838e-01 4.190942418428167567e-03 3.005254073166538475e+00 1.407231203772545958e-01 1.256008724104358487e+00 -3.450074180566825577e-01 1.081609417274906337e-03
1.048690747358897113e+00 5.198108938671249131e-03 2.657621326478676771e+00 1.709676917689443021e-01 9.389599617861581482e-01 -2.468458279936797117e-02 5.890629344259551946e-03
7.238302155398707027e-01 6.978078675395724996e-03 3.052267885892302246e+00 8.312226494949483124e-02 1.122945103603920192e+00 2.636548893706270880e-01 4.454863273511643029e-06
2.226024414321275957e-01 1.365398441387827202e-03 2.353939755067120831e+00 9.081563302945813709e-02 8.484932797565023499e-01 4.428125209482844937e-01 4.982887024365500176e-05
4.033149802168831677e-01 7.462893946060855481e-03 3.241144111695635210e+00 4.927824039423461117e-02 1.352461433728308515e+00 1.833791451251911009e-01 4.609918902682322166e-06
5.282755891632970879e-01 1.697736965645517144e-03 2.512256240139139063e+00 1.050201215314987280e-01 1.078413584328945074e+00 2.092665513474696870e-01 1.292198810715482604e-06
3.296497492427433729e-01 2.381771191382743395e-03 2.775895466412585666e+00 1.531261452873332318e-01 1.095267146654785195e+00 8.094690680050473097e-02 5.182590021574904129e-04
9.496010196453725793e-01 7.979772766629178102e-03 3.117136402929567396e+00 8.815885457050691432e-02 9.244834488548951956e-01 -2.388257440935831477e-02 2.227765274834211097e-06
